block_number,timestamp,tx_count,gas_used,gas_limit
6,1768476692,0,0,30000000
7,1768476704,47,1116872,30000000
8,1768476717,1,23764,30000000
9,1768476729,0,0,30000000
10,1768476741,2,47528,30000000
11,1768476753,0,0,30000000
12,1768476765,0,0,30000000
13,1768476777,0,0,30000000
14,1768476789,8,189936,30000000
15,1768476801,47,1116014,30000000
16,1768476813,39,926760,30000000
17,1768476825,1,23742,30000000
18,1768476837,3,71248,30000000
19,1768476849,2,47528,30000000
20,1768476861,0,0,30000000
21,1768476873,0,0,30000000
22,1768476885,0,0,30000000
23,1768476897,8,189936,30000000
24,1768476909,47,1116014,30000000
25,1768476921,39,926760,30000000
26,1768476933,1,23742,30000000
27,1768476945,2,47506,30000000
28,1768476957,1,23764,30000000
29,1768476969,1,23742,30000000
30,1768476981,1,23764,30000000
31,1768476993,0,0,30000000
32,1768477005,8,189936,30000000
33,1768477017,47,1116014,30000000
34,1768477029,39,926760,30000000
35,1768477042,1,23742,30000000
36,1768477054,2,47506,30000000
37,1768477066,1,23764,30000000
38,1768477078,1,23742,30000000
39,1768477090,1,23764,30000000
40,1768477102,0,0,30000000
41,1768477114,8,189936,30000000
42,1768477126,47,1116014,30000000
43,1768477138,39,926760,30000000
44,1768477150,1,23742,30000000
45,1768477162,1,23764,30000000
46,1768477174,2,47484,30000000
47,1768477186,2,47528,30000000
48,1768477198,0,0,30000000
49,1768477210,0,0,30000000
50,1768477222,8,189936,30000000
51,1768477234,39,925902,30000000
52,1768477246,0,0,30000000
53,1768477258,1,23742,30000000
54,1768477270,0,0,30000000
55,1768477282,2,47484,30000000
6,1768476694,0,0,30000000
7,1768476706,0,0,30000000
8,1768476718,0,0,30000000
9,1768476730,0,0,30000000
10,1768476742,0,0,30000000
11,1768476754,0,0,30000000
12,1768476766,0,0,30000000
13,1768476779,0,0,30000000
14,1768476791,0,0,30000000
15,1768476803,0,0,30000000
16,1768476815,0,0,30000000
17,1768476827,0,0,30000000
18,1768476839,0,0,30000000
19,1768476851,0,0,30000000
20,1768476863,0,0,30000000
21,1768476875,0,0,30000000
22,1768476887,0,0,30000000
23,1768476899,0,0,30000000
24,1768476911,0,0,30000000
25,1768476923,0,0,30000000
26,1768476935,0,0,30000000
27,1768476947,0,0,30000000
28,1768476959,0,0,30000000
29,1768476971,0,0,30000000
30,1768476983,0,0,30000000
31,1768476995,0,0,30000000
32,1768477007,0,0,30000000
33,1768477019,0,0,30000000
34,1768477031,0,0,30000000
35,1768477043,0,0,30000000
36,1768477055,0,0,30000000
37,1768477067,0,0,30000000
38,1768477079,0,0,30000000
39,1768477091,0,0,30000000
40,1768477103,0,0,30000000
41,1768477115,0,0,30000000
42,1768477127,0,0,30000000
43,1768477139,0,0,30000000
44,1768477151,0,0,30000000
45,1768477163,0,0,30000000
46,1768477175,0,0,30000000
47,1768477187,0,0,30000000
48,1768477199,0,0,30000000
49,1768477211,0,0,30000000
50,1768477223,0,0,30000000
51,1768477235,0,0,30000000
52,1768477247,0,0,30000000
53,1768477259,0,0,30000000
54,1768477271,0,0,30000000
6,1768476696,0,0,30000000
7,1768476708,47,1115838,30000000
8,1768476721,48,2846468,30000000
9,1768476734,48,2882784,30000000
10,1768476747,50,2930268,30000000
11,1768476760,50,3002900,30000000
12,1768476774,50,3002900,30000000
13,1768476787,50,1297046,30000000
14,1768476799,3,143880,30000000
15,1768476811,10,310052,30000000
16,1768476824,49,1453894,30000000
17,1768476836,47,2822726,30000000
18,1768476849,48,2846468,30000000
19,1768476862,49,2906526,30000000
20,1768476876,49,2942842,30000000
21,1768476889,50,2676232,30000000
22,1768476902,42,1106934,30000000
23,1768476914,11,370110,30000000
24,1768476926,50,1550246,30000000
25,1768476939,49,2906548,30000000
26,1768476952,49,2906526,30000000
27,1768476965,50,2930290,30000000
28,1768476979,49,2942842,30000000
29,1768476992,50,2676232,30000000
30,1768477005,42,1106934,30000000
31,1768477017,3,180174,30000000
32,1768477029,11,333816,30000000
33,1768477041,49,1490188,30000000
34,1768477054,48,2882784,30000000
35,1768477067,49,2870232,30000000
36,1768477080,48,2882784,30000000
37,1768477093,50,2930268,30000000
38,1768477107,50,2712548,30000000
39,1768477120,42,1106934,30000000
40,1768477132,11,370110,30000000
41,1768477144,50,1550246,30000000
42,1768477157,49,2942842,30000000
43,1768477170,50,2893996,30000000
44,1768477183,48,2882784,30000000
45,1768477196,50,2930268,30000000
46,1768477210,50,2712548,30000000
47,1768477223,42,1106934,30000000
48,1768477235,3,180174,30000000
49,1768477247,3,143880,30000000
50,1768477259,2,120116,30000000
51,1768477271,2,47528,30000000
