timestamp,worker_id,tx_type,latency_s,gas_used,block_number,status
1768871573.6402278,122,tpc_lock,4.59916090965271,46561,8,1
1768871573.647928,116,tpc_lock,8.6219482421875,46561,8,1
1768871573.655224,106,tpc_lock,3.9580819606781006,46561,8,1
1768871573.6559083,118,tpc_lock,7.054887533187866,46561,8,1
1768871573.7136757,104,tpc_lock,8.529232740402222,46561,8,1
1768871573.719252,114,tpc_lock,1.9905545711517334,46561,8,1
1768871576.5032134,113,tpc_lock,8.822984457015991,46561,8,1
1768871576.5179632,111,tpc_lock,7.876227140426636,46561,8,1
1768871576.5469992,121,tpc_lock,3.8198468685150146,46561,8,1
1768871576.554813,119,tpc_lock,7.911990404129028,46549,8,1
1768871576.568707,109,tpc_lock,9.330713510513306,46561,8,1
1768871576.6060116,107,tpc_lock,3.4887146949768066,46549,8,1
1768871586.3772814,100,tpc_lock,10.024062633514404,46561,9,1
1768871586.3982787,124,tpc_lock,12.772348165512085,46561,9,1
1768871586.4014442,112,tpc_lock,9.033344268798828,46561,9,1
1768871586.4553454,110,tpc_lock,7.5226805210113525,46561,9,1
1768871586.469447,108,tpc_lock,7.625215768814087,46561,9,1
1768871586.4736674,102,tpc_lock,6.990065813064575,46561,9,1
1768871586.4747813,120,tpc_lock,10.549165964126587,46561,9,1
1768871588.8386443,105,tpc_lock,9.227219820022583,46561,9,1
1768871588.8840983,117,tpc_lock,9.329973459243774,46561,9,1
1768871588.8851235,101,tpc_lock,10.610361099243164,46561,9,1
1768871588.8902702,103,tpc_lock,11.172158241271973,46561,9,1
1768871592.4454188,113,tpc_lock,15.942194700241089,46561,9,1
1768871592.448176,114,tpc_lock,18.72891592979431,46561,9,1
1768871592.4496884,121,tpc_lock,15.902681827545166,46561,9,1
1768871592.4522533,118,tpc_lock,18.796337842941284,46561,9,1
1768871592.4565573,106,tpc_lock,18.801324129104614,46561,9,1
1768871592.4578078,104,tpc_lock,18.744123697280884,46561,9,1
1768871592.4668615,116,tpc_lock,18.818925142288208,46561,9,1
1768871592.5009255,109,tpc_lock,15.932210683822632,46561,9,1
1768871592.505995,107,tpc_lock,15.899975299835205,46549,9,1
1768871592.5627096,119,tpc_lock,16.007888793945312,46549,9,1
1768871592.5644972,111,tpc_lock,16.04652738571167,46561,9,1
1768871592.565694,122,tpc_lock,18.925456523895264,46561,9,1
1768871611.7672448,121,das_work,19.317546367645264,60058,10,1
1768871611.7676249,116,das_work,19.30074977874756,60058,10,1
1768871611.7735984,106,das_work,19.3170268535614,60058,10,1
1768871611.7987869,118,das_work,19.346522092819214,60058,10,1
1768871611.8007662,104,das_work,19.342943906784058,60058,10,1
1768871611.8178256,122,das_work,19.25211787223816,60058,10,1
1768871611.8186872,113,das_work,19.373258590698242,60058,10,1
1768871611.8222423,107,das_work,19.316233158111572,60058,10,1
1768871611.8488743,114,das_work,19.40068745613098,60058,10,1
1768871611.8494468,109,das_work,19.34850788116455,60058,10,1
1768871611.8543959,119,das_work,19.291671991348267,60058,10,1
1768871611.860256,111,das_work,19.29574418067932,60058,10,1
1768871623.0141637,122,tpc_commit,11.196323871612549,28795,12,1
1768871623.0147545,116,tpc_commit,11.24712061882019,28795,12,1
1768871623.0863254,106,tpc_commit,11.312712669372559,28795,12,1
1768871623.0910285,104,tpc_commit,11.290248155593872,28795,12,1
1768871623.0944428,114,tpc_commit,11.245555400848389,28795,12,1
1768871623.1448755,118,tpc_commit,11.34607195854187,28795,12,1
1768871626.3201818,121,tpc_commit,14.552925825119019,28795,12,1
1768871626.3244684,113,tpc_commit,14.505767345428467,28795,12,1
1768871626.3252172,107,tpc_commit,14.502962350845337,28783,12,1
1768871626.3260772,119,tpc_commit,14.471664905548096,28783,12,1
1768871626.326751,111,tpc_commit,14.466481447219849,28795,12,1
1768871626.3815973,109,tpc_commit,14.532135963439941,28795,12,1
1768871638.4858015,111,tpc_commit,12.159039735794067,28795,12,1
1768871638.489318,113,tpc_commit,12.164835929870605,28795,12,1
1768871638.503912,106,tpc_commit,15.417572736740112,28795,12,1
1768871638.5119653,116,tpc_commit,15.49720025062561,28795,12,1
1768871638.5332084,119,tpc_commit,12.207117319107056,28783,12,1
1768871638.5335474,122,tpc_commit,15.519366264343262,28795,12,1
1768871638.5762637,121,tpc_commit,12.256067752838135,28795,12,1
1768871638.576551,118,tpc_commit,15.431660413742065,28795,12,1
1768871638.5780685,104,tpc_commit,15.487026453018188,28795,12,1
1768871638.5818083,114,tpc_commit,15.487352848052979,28795,12,1
1768871638.582161,107,tpc_commit,12.256929636001587,28783,12,1
1768871638.5833497,109,tpc_commit,12.20173692703247,28795,12,1
1768871647.8784666,116,tpc_lock,8.5865638256073,46561,14,1
1768871647.8790324,122,tpc_lock,7.57304310798645,46561,14,1
1768871647.881838,106,tpc_lock,8.59811782836914,46549,14,1
1768871647.8826134,118,tpc_lock,8.38363790512085,46561,14,1
1768871647.909221,114,tpc_lock,7.669989824295044,46561,14,1
1768871647.9122455,104,tpc_lock,8.475223779678345,46549,14,1
1768871651.1496153,121,tpc_lock,11.638036727905273,46561,14,1
1768871651.151511,119,tpc_lock,10.932353973388672,46561,14,1
1768871651.152333,109,tpc_lock,11.747465372085571,46561,14,1
1768871651.1677964,113,tpc_lock,11.77748417854309,46549,14,1
1768871651.1733568,107,tpc_lock,10.664133310317993,46561,14,1
1768871651.1739354,111,tpc_lock,11.996704339981079,46561,14,1
