journey_type,concurrency,amortization_factor,journeys_per_user,total_txs,total_gas,total_blocks,total_time,tps,gas_per_sec,makespan_seconds,processes
DAS,100,1,5,2500,77533320,130,1560,1.6025641025641026,49700.846153846156,601.9052906036377,16
DAS,200,1,5,5000,155066400,165,1980,2.525252525252525,78316.36363636363,748.1695704460144,16
DAS,300,1,5,7500,232599480,135,1620,4.62962962962963,143579.92592592593,643.6183481216431,16
DAS,400,1,5,10000,310131360,166,1992,5.020080321285141,155688.43373493975,778.424174785614,16
DAS,100,1,5,2500,77533320,124,1488,1.6801075268817205,52105.72580645161,577.8047828674316,16
DAS,200,1,5,5000,155066400,160,1920,2.6041666666666665,80763.75,733.5726580619812,16
DAS,300,1,5,7500,232599480,131,1572,4.770992366412214,147964.04580152672,632.1993606090546,16
DAS,400,1,5,10000,310131360,209,2508,3.9872408293460926,123656.84210526316,956.8207657337189,16
DAS,100,1,5,2500,77533320,100,1200,2.0833333333333335,64611.1,482.5352656841278,16
DAS,200,1,5,5000,155066400,134,1608,3.109452736318408,96434.32835820895,626.3556201457977,16
DAS,300,1,5,7500,232599480,136,1632,4.595588235294118,142524.1911764706,652.9965500831604,16
DAS,400,1,5,10000,310131360,169,2028,4.930966469428008,152924.73372781064,790.6261510848999,16
DAS,100,1,5,2500,77533320,130,1560,1.6025641025641026,49700.846153846156,603.3288071155548,16
DAS,200,1,5,5000,155066400,134,1608,3.109452736318408,96434.32835820895,626.402930021286,16
DAS,300,1,5,7500,232599480,135,1620,4.62962962962963,143579.92592592593,643.2667968273163,16
DAS,400,1,5,10000,310131360,138,1656,6.038647342995169,187277.39130434784,671.2601852416992,16
