journey_type,concurrency,amortization_factor,journeys_per_user,total_txs,total_gas,total_blocks,total_time,tps,gas_per_sec,makespan_seconds,processes
2PC,100,1,5,2500,105381736,128,1536,1.6276041666666667,68607.90104166667,596.3916511535645,50
BASELINE,100,1,5,500,30029000,68,816,0.6127450980392157,36800.24509803922,350.83221340179443,50
2PC,200,1,5,5000,210763856,171,2052,2.4366471734892787,102711.43079922027,778.3508739471436,50
BASELINE,200,1,5,1000,60058000,100,1200,0.8333333333333334,50048.333333333336,486.5065381526947,50
2PC,300,1,5,7500,316145784,259,3108,2.413127413127413,101720.00772200772,1140.711233139038,50
BASELINE,300,1,5,1500,90087000,98,1176,1.2755102040816326,76604.59183673469,480.3843560218811,50
2PC,400,1,5,10000,421528192,278,3336,2.997601918465228,126357.37170263789,1229.7080247402191,50
BASELINE,400,1,5,2000,120116000,100,1200,1.6666666666666667,100096.66666666667,499.27840399742126,50
2PC,500,1,5,12485,526295864,284,3408,3.66343896713615,154429.53755868544,1268.2663831710815,50
BASELINE,500,1,5,2500,150145000,93,1116,2.240143369175627,134538.53046594982,477.30749678611755,50
2PC,100,5,5,12500,526910120,530,6360,1.9654088050314464,82847.50314465408,2237.49870800972,50
BASELINE,100,5,5,2500,150145000,138,1656,1.5096618357487923,90667.27053140097,664.1323719024658,50
2PC,200,5,5,24688,1040692942,785,9420,2.6208067940552016,110476.95774946922,3311.84051656723,50
BASELINE,200,5,5,5000,300290000,179,2148,2.3277467411545625,139799.8137802607,845.7790877819061,50
2PC,300,5,5,36020,1518775430,985,11820,3.047377326565144,128491.99915397631,4166.575613498688,50
BASELINE,300,5,5,7500,450435000,204,2448,3.0637254901960786,184001.22549019608,991.6847789287567,50
2PC,400,5,5,47133,1987550193,1141,13692,3.4423751095530237,145161.4222173532,4855.071257829666,50
BASELINE,400,5,5,9980,599378840,257,3084,3.2360570687418937,194351.11543450065,1280.850478887558,50
2PC,500,5,5,58994,2487318893,1229,14748,4.0001356116083535,168654.65778410633,5284.879540920258,50
BASELINE,500,5,5,12250,735710500,329,3948,3.102836879432624,186350.17730496454,1653.7192051410675,50
2PC,100,10,5,24921,1050492801,919,11028,2.259793253536453,95256.87350380849,3839.7975339889526,50
BASELINE,100,10,5,5000,300290000,224,2688,1.8601190476190477,111715.02976190476,1018.4247238636017,50
2PC,200,10,5,47165,1988213588,1477,17724,2.6610810200857595,112176.3477770255,6167.144020318985,50
BASELINE,200,10,5,10000,600580000,285,3420,2.9239766081871346,175608.18713450292,1329.7232415676117,50
2PC,300,10,5,72360,3050477214,1850,22200,3.2594594594594595,137408.88351351352,7786.514734745026,50
BASELINE,300,10,5,14880,893663040,351,4212,3.532763532763533,212170.71225071224,1685.6595487594604,50
2PC,400,10,5,83031,3502309020,2003,24036,3.454443334997504,145710.97603594608,8471.159936666489,50
BASELINE,400,10,5,20000,1201160000,517,6204,3.223726627981947,193610.57382333977,2543.7392551898956,50
2PC,500,10,5,109737,4628133018,2334,28008,3.9180591259640103,165243.25257069408,9972.11090183258,50
BASELINE,500,10,5,24069,1445536002,678,8136,2.9583333333333335,177671.58333333334,3348.27254486084,50
