timestamp,worker_id,tx_type,latency_s,gas_used,block_number,status
1768842262.0992515,100,das_burn,8.364601135253906,23764,8,1
1768842262.11599,120,das_burn,4.6681835651397705,23764,8,1
1768842262.1366296,104,das_burn,6.793607473373413,23764,8,1
1768842262.1506188,124,das_burn,0.8586390018463135,23764,8,1
1768842262.1516953,114,das_burn,3.8417744636535645,23764,8,1
1768842262.152427,110,das_burn,9.221431732177734,23764,8,1
1768842262.1569464,116,das_burn,6.071101665496826,23764,8,1
1768842262.1573029,108,das_burn,3.8943564891815186,23764,8,1
1768842262.1656551,122,das_burn,3.6444685459136963,23764,8,1
1768842262.1676157,112,das_burn,2.670015335083008,23764,8,1
1768842262.1686103,102,das_burn,5.185703754425049,23752,8,1
1768842264.7587078,113,das_burn,4.493551015853882,23764,8,1
1768842264.7708862,123,das_burn,2.7624502182006836,23764,8,1
1768842264.7711425,107,das_burn,10.171085834503174,23764,8,1
1768842264.7810018,103,das_burn,11.821517705917358,23764,8,1
1768842264.8151178,101,das_burn,4.745591163635254,23764,8,1
1768842264.821711,119,das_burn,2.3231594562530518,23764,8,1
1768842264.8449793,111,das_burn,3.1022231578826904,23764,8,1
1768842264.8458533,117,das_burn,7.027468919754028,23764,8,1
1768842264.8474407,115,das_burn,4.018208980560303,23764,8,1
1768842264.8554711,105,das_burn,5.738752365112305,23764,8,1
1768842267.1087627,110,das_mint,3.628726005554199,23742,8,1
1768842267.114043,108,das_mint,4.182530164718628,23742,8,1
1768842267.1142564,102,das_mint,4.384068727493286,23730,8,1
1768842267.1230643,114,das_mint,3.5438153743743896,23742,8,1
1768842267.1299007,120,das_mint,4.343008995056152,23742,8,1
1768842267.1310537,122,das_mint,3.574676036834717,23742,8,1
1768842267.1509714,124,das_mint,3.489335298538208,23742,8,1
1768842267.1585882,116,das_mint,4.341853380203247,23742,8,1
1768842267.1658177,112,das_mint,3.1958625316619873,23742,8,1
1768842267.1660964,101,das_mint,1.7723243236541748,23742,8,1
1768842267.2013261,100,das_mint,3.8728482723236084,23742,8,1
1768842267.2017517,104,das_mint,4.252761125564575,23742,8,1
1768842274.4260926,106,das_burn,8.454777240753174,23764,9,1
1768842276.9021702,109,das_burn,11.212539672851562,23764,9,1
1768842276.9375322,121,das_burn,9.214679956436157,23764,9,1
1768842284.8038342,109,das_mint,7.233277082443237,23742,9,1
1768842284.8049233,116,das_work,15.714611053466797,60058,9,1
1768842284.805162,104,das_work,15.650336742401123,60058,9,1
1768842284.805429,123,das_mint,19.262890815734863,23742,9,1
1768842284.8056164,106,das_mint,9.826030015945435,23742,9,1
1768842284.8400035,101,das_work,16.27419924736023,60058,9,1
1768842284.8409593,122,das_work,16.23763942718506,60058,9,1
1768842284.841304,100,das_work,16.907393217086792,60058,9,1
1768842284.8415024,112,das_work,16.021238565444946,60058,9,1
1768842284.8418198,121,das_mint,6.351433038711548,23742,9,1
1768842284.8827639,124,das_work,16.62133026123047,60058,9,1
1768842284.892523,102,das_work,17.007917642593384,60058,9,1
1768842284.8981385,110,das_work,16.358891010284424,60058,9,1
1768842284.9006503,114,das_work,16.75763249397278,60058,9,1
1768842284.901131,108,das_work,17.217827796936035,60058,9,1
1768842284.9014478,120,das_work,16.475027799606323,60058,9,1
1768842306.9936955,112,das_work,21.41917395591736,60058,10,1
1768842306.994788,120,das_work,21.032572269439697,60058,10,1
1768842306.9960792,102,das_work,20.443448543548584,60058,10,1
1768842306.9972918,104,das_work,21.093771934509277,60058,10,1
1768842306.9976196,110,das_work,21.294450044631958,60058,10,1
1768842306.9990368,116,das_work,21.245675563812256,60058,10,1
1768842307.0627496,124,das_work,21.21359348297119,60058,10,1
1768842307.066773,122,das_work,20.908271074295044,60058,10,1
1768842307.0745099,106,das_work,20.81917643547058,60058,10,1
1768842307.0843813,100,das_work,21.55792737007141,60058,10,1
1768842307.0853236,123,das_work,20.35551357269287,60058,10,1
1768842307.0925615,121,das_work,20.284043788909912,60058,10,1
1768842307.0989885,108,das_work,20.96984362602234,60058,10,1
1768842307.0992012,109,das_work,20.494874715805054,60058,10,1
1768842307.0995464,114,das_work,21.16090440750122,60058,10,1
1768842307.099805,101,das_work,21.42841911315918,60058,10,1
1768842328.9297514,114,das_work,21.25139617919922,60058,11,1
1768842328.9340398,110,das_work,20.2524836063385,60058,11,1
1768842328.9356706,122,das_work,20.126009702682495,60058,11,1
1768842328.9364648,108,das_work,21.014545440673828,60058,11,1
1768842328.9367716,120,das_work,20.188522577285767,60058,11,1
1768842328.9388072,123,das_work,20.499906539916992,60058,11,1
1768842328.9698389,112,das_work,20.719647645950317,60058,11,1
1768842328.9739404,121,das_work,20.31601858139038,60058,11,1
1768842328.9746344,109,das_work,20.94019889831543,60058,11,1
1768842328.9751165,101,das_work,20.238987684249878,60058,11,1
1768842328.9753458,106,das_work,19.955574989318848,60058,11,1
1768842328.9761574,100,das_work,20.558408975601196,60058,11,1
1768842328.9767437,116,das_work,20.99864435195923,60058,11,1
1768842328.9780462,102,das_work,20.98730230331421,60058,11,1
1768842328.9783654,104,das_work,19.992353439331055,60058,11,1
1768842328.9786563,124,das_work,20.2052161693573,60058,11,1
1768842350.69222,114,das_work,20.40678358078003,60058,12,1
1768842350.695934,102,das_work,20.786731004714966,60058,12,1
1768842350.6963139,108,das_work,20.76634120941162,60058,12,1
1768842350.6970522,122,das_work,19.955118417739868,60058,12,1
1768842350.6986537,112,das_work,20.95308017730713,60058,12,1
1768842350.6988683,101,das_work,20.172039270401,60058,12,1
1768842350.6991665,100,das_work,20.86629343032837,60058,12,1
1768842350.7292223,120,das_work,20.37291717529297,60058,12,1
1768842350.729563,121,das_work,21.13085627555847,60058,12,1
1768842350.7419236,110,das_work,21.150846242904663,60058,12,1
1768842350.7440994,123,das_work,19.928980350494385,60058,12,1
1768842350.7447,109,das_work,19.978938102722168,60058,12,1
1768842350.7449193,104,das_work,20.79221272468567,60058,12,1
1768842350.7451303,116,das_work,21.011964082717896,60058,12,1
1768842350.7623427,106,das_work,19.9112868309021,60058,12,1
1768842350.7626572,124,das_work,20.643798828125,60058,12,1
1768842372.491122,123,das_work,21.048012018203735,60058,13,1
1768842372.5002034,101,das_work,20.865280151367188,60058,13,1
1768842372.5047076,110,das_work,20.05921721458435,60058,13,1
1768842372.5050037,120,das_work,21.24486494064331,60058,13,1
1768842372.5052779,112,das_work,20.18539834022522,60058,13,1
1768842372.5534172,124,das_work,21.040699005126953,60058,13,1
1768842372.5544024,109,das_work,20.125609636306763,60058,13,1
1768842372.5554187,116,das_work,20.6308650970459,60058,13,1
1768842372.5803916,104,das_work,20.04531216621399,60058,13,1
1768842372.5820806,100,das_work,20.994540452957153,60058,13,1
1768842372.5831244,102,das_work,21.28593921661377,60058,13,1
1768842372.5838778,106,das_work,20.861015796661377,60058,13,1
1768842372.584084,114,das_work,21.225789785385132,60058,13,1
1768842372.5842886,108,das_work,21.07278299331665,60058,13,1
1768842372.5844803,121,das_work,21.086357355117798,60058,13,1
1768842372.5887506,122,das_work,20.388676166534424,60058,13,1
1768842382.4974794,118,das_burn,120.8472728729248,23764,18,1
1768842390.6280544,101,das_burn,16.408706188201904,23764,14,1
1768842390.628335,104,das_burn,17.284113883972168,23764,14,1
1768842390.6619549,122,das_burn,16.80884313583374,23764,14,1
1768842390.6640472,121,das_work,17.52280044555664,60058,14,1
1768842390.6643438,108,das_burn,17.489067792892456,23764,14,1
