timestamp,worker_id,tx_type,latency_s,gas_used,block_number,status
1768490459.558399,105,das_burn,4.7006776332855225,23764,7,1
1768490459.6025505,11,das_burn,5.048905372619629,23764,7,1
1768490459.6044252,111,das_burn,4.723655462265015,23764,7,1
1768490469.5319817,184,das_burn,14.417551279067993,23764,8,1
1768490469.5422316,20,das_burn,14.965402364730835,23764,8,1
1768490469.5489345,126,das_burn,14.624722242355347,23764,8,1
1768490469.569237,62,das_burn,14.848488807678223,23752,8,1
1768490469.5714507,140,das_burn,14.598133087158203,23764,8,1
1768490469.5734704,0,das_burn,15.039361953735352,23764,8,1
1768490469.574236,188,das_burn,14.444335222244263,23764,8,1
1768490469.5754406,94,das_burn,14.75491213798523,23764,8,1
1768490469.5802345,52,das_burn,14.90125846862793,23764,8,1
1768490469.5810876,38,das_burn,14.943861484527588,23764,8,1
1768490469.5819306,84,das_burn,14.790675640106201,23764,8,1
1768490469.588625,98,das_burn,14.753849744796753,23752,8,1
1768490469.5910656,110,das_burn,14.71585464477539,23764,8,1
1768490469.5946543,150,das_burn,14.59532380104065,23764,8,1
1768490469.5969892,22,das_burn,15.009838581085205,23764,8,1
1768490469.6047902,104,das_burn,14.752613067626953,23764,8,1
1768490469.6054938,106,das_burn,14.746525287628174,23764,8,1
1768490469.6089973,58,das_burn,14.899727821350098,23764,8,1
1768490469.6131258,28,das_burn,15.008708715438843,23764,8,1
1768490469.6324706,148,das_burn,14.63942289352417,23764,8,1
1768490469.6371255,178,das_burn,14.539087057113647,23764,8,1
1768490469.637693,50,das_burn,14.962766885757446,23764,8,1
1768490469.6444929,114,das_burn,14.751975059509277,23764,8,1
1768490469.6450732,166,das_burn,14.588687181472778,23764,8,1
1768490471.6658852,185,das_burn,16.54728674888611,23764,8,1
1768490471.667212,95,das_burn,16.841732501983643,23764,8,1
1768490471.6695745,199,das_burn,16.50553250312805,23764,8,1
1768490471.6713624,89,das_burn,16.867092847824097,23764,8,1
1768490471.672288,63,das_burn,16.948987007141113,23764,8,1
1768490471.6768844,37,das_burn,17.041200399398804,23764,8,1
1768490471.6800141,97,das_burn,16.849479913711548,23764,8,1
1768490471.6823826,25,das_burn,17.086485862731934,23764,8,1
1768490471.684438,115,das_burn,16.790950775146484,23764,8,1
1768490471.685529,35,das_burn,17.057295560836792,23764,8,1
1768490471.6884046,163,das_burn,16.643619060516357,23764,8,1
1768490471.690693,9,das_burn,17.142099857330322,23752,8,1
1768490471.691176,135,das_burn,16.73697543144226,23764,8,1
1768490471.6919558,69,das_burn,16.948686122894287,23764,8,1
1768490471.6962683,99,das_burn,16.859069347381592,23764,8,1
