block_number,timestamp,tx_count,gas_used,gas_limit
59,1768495812,9,213788,30000000
60,1768495824,9,213798,30000000
61,1768495836,8,190034,30000000
62,1768495848,8,190056,30000000
63,1768495860,4,95022,30000000
64,1768495872,6,142496,30000000
65,1768495884,6,142562,30000000
66,1768495897,5,118710,30000000
67,1768495909,7,166292,30000000
68,1768495921,7,166238,30000000
69,1768495933,12,284980,30000000
70,1768495945,4,94990,30000000
71,1768495957,13,308844,30000000
72,1768495969,10,237552,30000000
73,1768495981,8,190012,30000000
74,1768495993,8,189968,30000000
75,1768496005,10,237508,30000000
76,1768496017,13,308732,30000000
77,1768496029,12,285056,30000000
78,1768496041,11,261270,30000000
79,1768496053,12,285068,30000000
80,1768496065,7,166248,30000000
81,1768496077,5,118776,30000000
82,1768496089,9,213754,30000000
83,1768496101,6,142496,30000000
84,1768496113,13,308766,30000000
85,1768496125,6,142540,30000000
86,1768496137,12,284946,30000000
87,1768496149,8,190056,30000000
88,1768496161,8,190034,30000000
89,1768496173,9,213744,30000000
90,1768496185,6,142540,30000000
91,1768496197,13,308776,30000000
92,1768496209,7,166248,30000000
93,1768496221,7,166292,30000000
94,1768496233,12,284992,30000000
95,1768496245,9,213810,30000000
96,1768496257,9,213776,30000000
97,1768496269,7,166204,30000000
98,1768496281,8,190012,30000000
99,1768496293,7,166270,30000000
100,1768496305,10,237530,30000000
101,1768496318,12,285058,30000000
102,1768496330,7,166270,30000000
103,1768496342,11,261260,30000000
104,1768496354,7,166260,30000000
105,1768496366,8,189990,30000000
106,1768496378,9,213754,30000000
107,1768496390,8,189936,30000000
108,1768496402,10,237506,30000000
109,1768496414,7,166314,30000000
110,1768496426,6,142484,30000000
111,1768496438,10,237442,30000000
112,1768496450,10,237508,30000000
113,1768496462,8,189968,30000000
114,1768496474,7,166216,30000000
115,1768496486,8,189924,30000000
116,1768496498,10,237420,30000000
117,1768496510,9,213666,30000000
118,1768496522,9,213700,30000000
119,1768496534,9,213654,30000000
120,1768496546,3,71226,30000000
121,1768496558,7,166182,30000000
122,1768496570,8,189936,30000000
123,1768496582,1,23742,30000000
124,1768496594,0,0,30000000
125,1768496606,2,47484,30000000
6,1768495177,0,0,30000000
7,1768495189,0,0,30000000
8,1768495201,0,0,30000000
9,1768495213,6,142440,30000000
10,1768495225,27,641022,30000000
11,1768495237,55,1559950,30000000
12,1768495249,72,2762540,30000000
13,1768495262,81,3629930,30000000
14,1768495276,83,4367430,30000000
15,1768495290,85,4669138,30000000
16,1768495304,81,4646802,30000000
17,1768495318,89,5163582,30000000
18,1768495333,87,5116120,30000000
19,1768495347,88,5285104,30000000
20,1768495362,85,4959754,30000000
21,1768495376,88,4740682,30000000
