block_number,timestamp,tx_count,gas_used,gas_limit
84,1768813351,35,830898,30000000
85,1768813363,29,689096,30000000
86,1768813375,28,664716,30000000
87,1768813387,20,475244,30000000
88,1768813399,0,0,30000000
89,1768813411,0,0,30000000
90,1768813423,0,0,30000000
91,1768813435,143,3394974,30000000
92,1768813448,101,2399984,30000000
93,1768813461,6,142584,30000000
94,1768813473,0,0,30000000
95,1768813485,0,0,30000000
96,1768813497,92,2184204,30000000
97,1768813509,50,1188164,30000000
98,1768813522,53,1258206,30000000
99,1768813534,159,3775644,30000000
100,1768813547,48,1140648,30000000
101,1768813559,0,0,30000000
102,1768813571,1,23742,30000000
103,1768813583,40,949594,30000000
104,1768813595,65,1543532,30000000
105,1768813607,12,285144,30000000
106,1768813619,36,855302,30000000
107,1768813632,13,308644,30000000
108,1768813644,7,166202,30000000
109,1768813656,66,1566864,30000000
110,1768813668,67,1591418,30000000
111,1768813680,84,1994706,30000000
112,1768813693,26,617842,30000000
113,1768813705,38,902112,30000000
114,1768813717,26,617374,30000000
115,1768813729,22,522312,30000000
116,1768813741,5,118710,30000000
117,1768813753,2,47472,30000000
118,1768813765,5,118686,30000000
119,1768813777,1,23742,30000000
120,1768813789,16,379858,30000000
121,1768813801,7,166336,30000000
122,1768813813,1,23730,30000000
123,1768813825,0,0,30000000
124,1768813837,1,23742,30000000
125,1768813849,7,166182,30000000
126,1768813861,0,0,30000000
6,1768812366,0,0,30000000
7,1768812378,0,0,30000000
8,1768812390,0,0,30000000
9,1768812402,241,5721642,30000000
10,1768812428,492,20432920,30000000
11,1768812468,212,9429458,30000000
12,1768812492,401,14247356,30000000
13,1768812519,130,3089152,30000000
14,1768812534,53,1258290,30000000
15,1768812549,589,15908090,30000000
16,1768812603,9,431596,30000000
17,1768812623,529,29992240,30000000
18,1768812683,651,16192188,30000000
19,1768812737,170,9483980,30000000
20,1768812760,369,8763678,30000000
21,1768812780,288,14790852,30000000
22,1768812804,288,9347994,30000000
23,1768812822,118,2802990,30000000
24,1768812835,118,4653644,30000000
25,1768812849,239,8144882,30000000
26,1768812865,200,8998784,30000000
27,1768812883,260,6720030,30000000
28,1768812900,244,10441622,30000000
29,1768812920,494,15398944,30000000
30,1768812953,42,2123190,30000000
31,1768812969,424,18566950,30000000
32,1768813001,341,10606722,30000000
33,1768813022,152,4990190,30000000
34,1768813037,280,8282540,30000000
35,1768813055,316,14657582,30000000
36,1768813080,416,13548580,30000000
37,1768813105,227,9567900,30000000
38,1768813125,414,10230690,30000000
39,1768813149,175,9093924,30000000
40,1768813171,568,20242900,30000000
41,1768813214,144,6724698,30000000
42,1768813238,620,20135584,30000000
43,1768813290,32,1486328,30000000
44,1768813306,597,22420800,30000000
45,1768813360,122,4604236,30000000
46,1768813380,649,22567342,30000000
47,1768813439,47,1806172,30000000
48,1768813456,576,21523806,30000000
49,1768813503,387,14966790,30000000
50,1768813530,172,4522806,30000000
51,1768813543,112,2695492,30000000
52,1768813556,181,7892560,30000000
53,1768813572,201,7715724,30000000
54,1768813588,111,3399732,30000000
55,1768813601,54,1609290,30000000
56,1768813614,108,3435810,30000000
57,1768813627,129,5786826,30000000
58,1768813642,229,6527856,30000000
59,1768813657,162,8349976,30000000
60,1768813673,170,4329228,30000000
61,1768813687,69,3018310,30000000
62,1768813700,113,3518842,30000000
63,1768813713,75,3669540,30000000
64,1768813727,61,1449346,30000000
65,1768813739,9,540522,30000000
66,1768813752,26,617418,30000000
67,1768813764,17,1020986,30000000
68,1768813776,20,475166,30000000
69,1768813788,5,227658,30000000
70,1768813801,6,215138,30000000
71,1768813813,10,273768,30000000
72,1768813825,8,444170,30000000
73,1768813837,9,213820,30000000
74,1768813849,2,120116,30000000
75,1768813861,2,47528,30000000
