journey_type,concurrency,amortization_factor,journeys_per_user,total_txs,total_gas,total_blocks,total_time,tps,gas_per_sec,makespan_seconds,processes
2PC,100,5,5,12296,518334365,461,5532,2.222704266088214,93697.4629428778,1959.357348203659,16
2PC,200,5,5,24763,1043856460,718,8616,2.874071494893222,121153.25673166203,3045.681430578232,16
2PC,300,5,5,36094,1521787606,1072,12864,2.8058146766169156,118298.16588930348,4519.305022239685,16
2PC,400,5,5,42077,1775274533,1194,14328,2.9366973757677277,123902.4660106086,5042.390518188477,16
2PC,500,5,5,46773,1975241253,1198,14376,3.2535475792988313,137398.5290066778,5120.898711681366,16
BASELINE,100,5,5,2500,150145000,120,1440,1.7361111111111112,104267.36111111111,581.3295295238495,16
BASELINE,200,5,5,5000,300290000,155,1860,2.6881720430107525,161446.2365591398,762.5466060638428,16
BASELINE,300,5,5,7500,450435000,202,2424,3.094059405940594,185823.0198019802,986.7418327331543,16
BASELINE,400,5,5,9998,600459884,268,3216,3.1088308457711444,186710.16293532337,1368.5288395881653,16
BASELINE,500,5,5,12014,721536812,359,4308,2.788765088207985,167487.65366759518,1832.9740300178528,16
