node,block_number,timestamp,tx_count,gas_used,gas_limit
shard_0,6,1768838172,0,0,30000000
shard_0,7,1768838184,0,0,30000000
shard_0,8,1768838196,153,3635760,30000000
shard_0,9,1768838209,79,1877260,30000000
shard_0,10,1768838221,0,0,30000000
shard_0,11,1768838233,0,0,30000000
shard_0,12,1768838245,0,0,30000000
shard_0,13,1768838257,22,522300,30000000
shard_0,14,1768838269,131,3110590,30000000
shard_0,15,1768838282,188,4465726,30000000
shard_0,16,1768838295,79,1877260,30000000
shard_0,17,1768838307,0,0,30000000
shard_0,18,1768838319,40,950040,30000000
shard_0,19,1768838331,22,522784,30000000
shard_0,20,1768838343,109,2587806,30000000
shard_0,21,1768838356,184,4370758,30000000
shard_0,22,1768838369,93,2209548,30000000
shard_0,23,1768838381,40,950028,30000000
shard_0,24,1768838393,22,522772,30000000
shard_0,25,1768838406,27,641010,30000000
shard_0,26,1768838418,81,1923648,30000000
shard_0,27,1768838430,129,3063786,30000000
shard_0,28,1768838443,90,2138334,30000000
shard_0,29,1768838455,15,356460,30000000
shard_0,30,1768838467,2,47484,30000000
shard_0,31,1768838479,59,1400798,30000000
shard_0,32,1768838492,57,1354524,30000000
shard_0,33,1768838504,75,1780554,30000000
shard_0,34,1768838516,75,1782204,30000000
shard_0,35,1768838529,28,664752,30000000
shard_0,36,1768838541,30,712852,30000000
shard_0,37,1768838553,68,1614464,30000000
shard_0,38,1768838565,102,2421804,30000000
shard_0,39,1768838577,40,949962,30000000
shard_0,40,1768838590,29,689044,30000000
shard_0,41,1768838602,4,95044,30000000
shard_0,42,1768838614,19,451062,30000000
shard_0,43,1768838626,49,1163704,30000000
shard_0,44,1768838638,55,1306422,30000000
shard_0,45,1768838650,4,94956,30000000
shard_0,46,1768838662,13,308634,30000000
shard_0,47,1768838674,41,973616,30000000
shard_0,48,1768838686,30,712884,30000000
shard_0,49,1768838698,5,118710,30000000
shard_0,50,1768838711,28,664862,30000000
shard_0,51,1768838723,34,807698,30000000
shard_0,52,1768838735,45,1068354,30000000
shard_0,53,1768838747,15,356460,30000000
shard_0,54,1768838759,6,142452,30000000
shard_0,55,1768838771,0,0,30000000
shard_0,56,1768838783,21,498558,30000000
shard_0,57,1768838795,20,475256,30000000
shard_0,58,1768838807,0,0,30000000
shard_0,59,1768838819,0,0,30000000
shard_0,60,1768838831,20,474816,30000000
shard_0,61,1768838843,0,0,30000000
shard_0,62,1768838855,0,0,30000000
shard_0,63,1768838867,0,0,30000000
shard_0,64,1768838879,22,522300,30000000
shard_0,65,1768838891,0,0,30000000
shard_0,66,1768838903,0,0,30000000
shard_0,67,1768838915,0,0,30000000
shard_0,68,1768838927,0,0,30000000
shard_0,69,1768838939,0,0,30000000
shard_0,70,1768838951,0,0,30000000
shard_0,71,1768838963,0,0,30000000
shard_0,72,1768838975,0,0,30000000
shard_0,73,1768838987,0,0,30000000
shard_0,74,1768838999,0,0,30000000
shard_0,75,1768839011,0,0,30000000
shard_0,76,1768839023,0,0,30000000
shard_0,77,1768839035,0,0,30000000
shard_1,6,1768838174,0,0,30000000
shard_1,7,1768838186,0,0,30000000
shard_1,8,1768838198,193,4586212,30000000
shard_1,9,1768838212,19,451480,30000000
shard_1,10,1768838224,0,0,30000000
shard_1,11,1768838236,0,0,30000000
shard_1,12,1768838248,0,0,30000000
shard_1,13,1768838260,0,0,30000000
shard_1,14,1768838272,41,973386,30000000
shard_1,15,1768838285,83,1971404,30000000
shard_1,16,1768838297,42,998040,30000000
shard_1,17,1768838310,0,0,30000000
shard_1,18,1768838322,38,902996,30000000
shard_1,19,1768838334,0,0,30000000
shard_1,20,1768838346,41,973386,30000000
shard_1,21,1768838358,83,1971404,30000000
shard_1,22,1768838370,82,1947684,30000000
shard_1,23,1768838383,40,950524,30000000
shard_1,24,1768838395,108,2563980,30000000
shard_1,25,1768838407,149,3539742,30000000
shard_1,26,1768838420,41,974288,30000000
shard_1,27,1768838432,42,997116,30000000
shard_1,28,1768838444,82,1947684,30000000
shard_1,29,1768838457,40,950524,30000000
shard_1,30,1768838469,108,2563980,30000000
shard_1,31,1768838481,140,3326076,30000000
shard_1,32,1768838494,69,1638842,30000000
shard_1,33,1768838507,41,974188,30000000
shard_1,34,1768838519,36,854752,30000000
shard_1,35,1768838531,94,2232344,30000000
shard_1,36,1768838544,84,1995584,30000000
shard_1,37,1768838556,54,1282492,30000000
shard_1,38,1768838568,4,94956,30000000
shard_1,39,1768838580,32,759708,30000000
shard_1,40,1768838592,54,1282700,30000000
shard_1,41,1768838604,22,522772,30000000
shard_1,42,1768838616,4,94968,30000000
shard_1,43,1768838628,21,498634,30000000
shard_1,44,1768838641,49,1163660,30000000
shard_1,45,1768838653,46,1092048,30000000
shard_1,46,1768838665,24,570288,30000000
shard_1,47,1768838677,16,379872,30000000
shard_1,48,1768838689,20,474870,30000000
shard_1,49,1768838701,107,2540624,30000000
shard_1,50,1768838714,90,2138652,30000000
shard_1,51,1768838726,1,23742,30000000
shard_1,52,1768838738,10,237442,30000000
shard_1,53,1768838750,25,593690,30000000
shard_1,54,1768838762,100,2374276,30000000
shard_1,55,1768838774,0,0,30000000
shard_1,56,1768838786,33,783450,30000000
shard_1,57,1768838799,18,427496,30000000
shard_1,58,1768838811,10,237604,30000000
shard_1,59,1768838823,5,118686,30000000
shard_1,60,1768838835,13,308732,30000000
shard_1,61,1768838847,16,379968,30000000
shard_1,62,1768838859,0,0,30000000
shard_1,63,1768838871,5,118686,30000000
shard_1,64,1768838883,6,142452,30000000
shard_1,65,1768838895,7,166326,30000000
shard_1,66,1768838907,1,23764,30000000
shard_1,67,1768838919,0,0,30000000
shard_1,68,1768838931,6,142452,30000000
shard_1,69,1768838943,1,23742,30000000
shard_1,70,1768838955,1,23764,30000000
shard_1,71,1768838967,0,0,30000000
shard_1,72,1768838979,0,0,30000000
shard_1,73,1768838991,1,23742,30000000
shard_1,74,1768839003,1,23764,30000000
shard_1,75,1768839015,0,0,30000000
shard_1,76,1768839027,0,0,30000000
shard_1,77,1768839039,1,23742,30000000
execution,6,1768838176,0,0,30000000
execution,7,1768838188,0,0,30000000
execution,8,1768838200,153,3632394,30000000
execution,9,1768838213,423,15598878,30000000
execution,10,1768838238,423,19851420,30000000
execution,11,1768838268,270,6415944,30000000
execution,12,1768838282,22,522300,30000000
execution,13,1768838294,172,4882468,30000000
execution,14,1768838308,289,12309154,30000000
execution,15,1768838327,325,11968266,30000000
execution,16,1768838347,175,6263608,30000000
execution,17,1768838362,208,4939456,30000000
execution,18,1768838375,267,11786370,30000000
execution,19,1768838395,322,11897052,30000000
execution,20,1768838416,282,8694898,30000000
execution,21,1768838433,254,10026354,30000000
execution,22,1768838452,316,10736716,30000000
execution,23,1768838470,238,9901442,30000000
execution,24,1768838488,259,7313564,30000000
execution,25,1768838504,240,9693448,30000000
execution,26,1768838522,302,10731172,30000000
execution,27,1768838541,249,9327510,30000000
execution,28,1768838559,177,6274222,30000000
execution,29,1768838573,102,3367070,30000000
execution,30,1768838586,95,2945946,30000000
execution,31,1768838599,126,4807626,30000000
execution,32,1768838613,133,5228678,30000000
execution,33,1768838627,96,3224642,30000000
execution,34,1768838641,85,2490666,30000000
execution,35,1768838653,76,3475166,30000000
execution,36,1768838667,181,4915518,30000000
execution,37,1768838680,146,7751946,30000000
execution,38,1768838696,184,4770432,30000000
execution,39,1768838709,83,3968160,30000000
execution,40,1768838723,168,4607094,30000000
execution,41,1768838737,113,6169520,30000000
execution,42,1768838752,150,3563244,30000000
execution,43,1768838765,64,3480516,30000000
execution,44,1768838778,64,1883776,30000000
execution,45,1768838791,15,356290,30000000
execution,46,1768838803,33,965042,30000000
execution,47,1768838815,43,2037804,30000000
execution,48,1768838828,38,1265948,30000000
execution,49,1768838840,15,356290,30000000
execution,50,1768838852,33,965042,30000000
execution,51,1768838864,34,1824162,30000000
execution,52,1768838877,29,725426,30000000
execution,53,1768838889,1,23764,30000000
execution,54,1768838901,6,142452,30000000
execution,55,1768838913,7,384090,30000000
execution,56,1768838926,7,202642,30000000
execution,57,1768838938,1,23764,30000000
execution,58,1768838950,0,0,30000000
execution,59,1768838962,1,23742,30000000
execution,60,1768838974,1,60058,30000000
execution,61,1768838986,1,23764,30000000
execution,62,1768838998,0,0,30000000
execution,63,1768839010,1,23742,30000000
execution,64,1768839022,1,60058,30000000
execution,65,1768839034,1,23764,30000000
