timestamp,worker_id,tx_type,latency_s,gas_used,block_number,status
1769375209.346335,4,das_burn,4.065495729446411,23764,8,1
1769375209.3544466,10,das_burn,5.8221094608306885,23764,8,1
1769375209.39209,6,das_burn,1.2120015621185305,23764,8,1
1769375209.405195,8,das_burn,0.4713702201843261,23764,8,1
1769375211.790106,9,das_burn,2.7542061805725098,23752,8,1
1769375211.827014,5,das_burn,7.184359312057495,23764,8,1
1769375214.041612,8,das_mint,3.1355302333831787,23742,8,1
1769375214.050591,10,das_mint,3.125345230102539,23742,8,1
1769375214.1093342,4,das_mint,4.111011266708374,23742,8,1
1769375214.13058,9,das_mint,1.1049723625183103,23730,8,1
1769375214.130855,6,das_mint,4.1374571323394775,23742,8,1
1769375221.7892654,2,das_burn,9.59557604789734,23764,9,1
1769375221.8109536,12,das_burn,8.552377223968506,23764,9,1
1769375221.8112988,0,das_burn,6.913178205490112,23764,9,1
1769375221.8320775,14,das_burn,8.700940370559692,23764,9,1
1769375224.011122,7,das_burn,10.549950361251833,23764,9,1
1769375224.0356505,1,das_burn,11.08268904685974,23764,9,1
1769375224.0509863,11,das_burn,7.496392965316772,23764,9,1
1769375224.0828958,13,das_burn,6.809672832489014,23764,9,1
1769375224.0910378,3,das_burn,11.985310316085815,23764,9,1
1769375231.6004837,1,das_mint,6.825977563858032,23742,9,1
1769375231.602225,8,das_work,15.8202383518219,60058,9,1
1769375231.6031375,12,das_mint,8.259379148483276,23742,9,1
1769375231.6047466,4,das_work,16.052246570587158,60058,9,1
1769375231.6069517,14,das_mint,8.268312692642212,23742,9,1
1769375231.610135,9,das_work,16.475780248641968,60058,9,1
1769375231.6527886,6,das_work,16.77609610557556,60058,9,1
1769375231.667809,7,das_mint,6.9477152824401855,23742,9,1
1769375231.6756637,2,das_mint,8.616775274276733,23742,9,1
1769375231.681477,11,das_mint,6.869613885879517,23742,9,1
1769375231.68234,3,das_mint,6.782694339752197,23742,9,1
1769375231.6825545,0,das_mint,8.517304420471191,23742,9,1
1769375231.68287,10,das_work,15.99929976463318,60058,9,1
1769375250.2891133,7,das_work,16.910406827926636,60058,10,1
1769375250.2968378,12,das_work,17.44493341445923,60058,10,1
1769375250.306814,6,das_burn,16.768595933914185,23764,10,1
1769375250.3106303,13,das_mint,24.525429010391235,23742,10,1
1769375250.311083,0,das_work,17.831058263778687,60058,10,1
1769375250.3113444,3,das_work,17.681859493255615,60058,10,1
1769375250.3197894,8,das_burn,17.97879719734192,23764,10,1
1769375250.3395295,11,das_work,16.738866567611694,60058,10,1
1769375250.341328,14,das_work,17.567925214767456,60058,10,1
1769375250.3415532,2,das_work,17.29166889190674,60058,10,1
1769375250.3680174,4,das_burn,18.15218734741211,23764,10,1
1769375250.3824012,10,das_burn,16.850910663604736,23764,10,1
1769375250.3833764,1,das_work,16.950176239013672,60058,10,1
1769375250.3841512,9,das_burn,17.496160745620728,23752,10,1
1769375258.0057132,10,das_mint,5.643695592880249,23742,12,1
1769375258.0512924,6,das_mint,6.589243173599243,23742,12,1
1769375258.0688367,8,das_mint,6.415150880813599,23742,12,1
1769375258.0766742,4,das_mint,6.070622205734253,23742,12,1
1769375260.3251655,9,das_mint,8.940365552902222,23730,12,1
1769375263.3640668,7,das_burn,11.773249864578249,23764,11,1
1769375263.3651345,13,das_work,11.6858971118927,60058,11,1
1769375263.365425,2,das_burn,11.432872772216797,23764,11,1
1769375263.393276,3,das_burn,11.087348699569702,23764,11,1
1769375263.3935704,0,das_burn,12.498356103897097,23764,11,1
1769375263.4255826,1,das_burn,12.012537240982056,23764,11,1
1769375263.4360983,11,das_burn,12.508738040924072,23764,11,1
1769375263.4364083,12,das_burn,12.010764837265016,23764,11,1
1769375263.4485962,14,das_burn,11.191817045211792,23764,11,1
1769375270.772195,8,das_burn,11.240046739578249,23764,13,1
1769375270.790734,6,das_burn,11.940847635269163,23764,13,1
1769375270.80053,0,das_mint,5.686261415481567,23742,13,1
1769375270.8008978,14,das_mint,6.585087060928345,23742,13,1
1769375270.805371,4,das_burn,12.070383787155151,23764,13,1
1769375270.8271194,10,das_burn,11.201311826705933,23764,13,1
1769375270.8274603,12,das_mint,5.844341278076172,23742,13,1
1769375270.8402026,2,das_mint,6.1942174434661865,23742,13,1
1769375272.9769018,3,das_mint,8.961506366729736,23742,13,1
1769375272.987775,9,das_burn,11.993709802627563,23752,13,1
1769375273.0101917,11,das_mint,8.731244802474976,23742,13,1
1769375273.0163174,1,das_mint,9.00177264213562,23742,13,1
1769375273.0179937,7,das_mint,8.809322118759155,23742,13,1
1769375275.9326718,6,das_mint,3.337783098220825,23742,12,1
1769375275.960368,8,das_mint,4.6754114627838135,23742,12,1
1769375275.985694,4,das_mint,3.5582048892974854,23742,12,1
1769375275.987875,9,das_mint,2.011159658432007,23730,12,1
1769375275.9906874,10,das_mint,4.215935230255127,23742,12,1
1769375275.9909923,13,das_burn,11.958234071731567,23764,12,1
1769375283.1263995,14,das_burn,10.623181581497192,23764,14,1
1769375283.1408005,12,das_burn,10.771198987960815,23764,14,1
1769375283.1565945,2,das_burn,10.79588007926941,23764,14,1
1769375283.15703,0,das_burn,10.84617829322815,23764,14,1
1769375285.198995,7,das_burn,11.29910945892334,23764,14,1
1769375285.2095797,11,das_burn,11.056941986083984,23764,14,1
1769375285.2290285,13,das_mint,8.136577367782593,23742,14,1
1769375285.2657945,1,das_burn,10.351109027862549,23764,14,1
1769375285.295006,3,das_burn,11.274426460266112,23764,14,1
1769375293.3618126,6,das_work,16.66113018989563,60058,13,1
1769375293.3769035,3,das_mint,6.737021207809448,23742,13,1
1769375293.3782213,9,das_work,15.92204976081848,60058,13,1
1769375293.3818247,8,das_work,15.696406364440918,60058,13,1
1769375293.3891838,14,das_mint,9.175759077072144,23742,13,1
