timestamp,worker_id,tx_type,latency_s,gas_used,block_number,status
1769155439.7407973,0,das_work,21.25979518890381,60058,8,1
1769155439.7419071,28,das_work,19.88077425956726,60058,8,1
1769155439.7426405,23,das_work,23.811737060546875,60058,8,1
1769155439.7440767,22,das_work,19.86357545852661,60058,8,1
1769155439.745042,24,das_work,22.164902687072757,60058,8,1
1769155439.7466035,13,das_work,22.52583646774292,60058,8,1
1769155439.74731,21,das_work,19.305378198623657,60058,8,1
1769155439.757115,1,das_work,24.05439257621765,60058,8,1
1769155439.760735,14,das_work,22.419951915740967,60058,8,1
1769155439.761002,20,das_work,23.543708086013797,60058,8,1
1769155439.761201,30,das_work,20.562599658966064,60058,8,1
1769155439.7615738,15,das_work,18.80269432067871,60058,8,1
1769155439.761764,29,das_work,18.492486476898197,60058,8,1
1769155439.7948143,3,das_work,22.1558210849762,60058,8,1
1769155439.8098252,12,das_work,21.9120888710022,60058,8,1
1769155439.810119,11,das_work,20.307531118392944,60058,8,1
1769155439.8136632,2,das_work,20.401079177856445,60058,8,1
1769155439.8143222,9,das_work,21.57470154762268,60058,8,1
1769155466.8810222,21,das_work,25.582359313964844,60058,9,1
1769155466.8940983,15,das_work,25.850553035736084,60058,9,1
1769155466.8949306,25,das_work,42.46454763412476,60058,9,1
1769155466.8966975,22,das_work,26.538089275360107,60058,9,1
1769155466.899007,19,das_work,45.285651206970215,60058,9,1
1769155466.899865,20,das_work,26.45234084129333,60058,9,1
1769155466.9155643,12,das_work,25.17694449424744,60058,9,1
1769155466.916971,13,das_work,25.659822463989254,60058,9,1
1769155466.9284744,30,das_work,25.252899169921875,60058,9,1
1769155466.929455,10,das_work,42.42127323150635,60058,9,1
1769155466.9297588,0,das_work,26.030107021331787,60058,9,1
1769155466.9545257,28,das_work,25.738633155822757,60058,9,1
1769155466.955248,11,das_work,26.253498554229736,60058,9,1
1769155466.9558592,3,das_work,26.37751340866089,60058,9,1
1769155466.956825,29,das_work,25.42419171333313,60058,9,1
1769155466.9572096,14,das_work,26.12941265106201,60058,9,1
1769155466.958927,23,das_work,25.32597255706787,60058,9,1
1769155466.960073,1,das_work,26.19977331161499,60058,9,1
1769155466.964608,24,das_work,26.25709319114685,60058,9,1
1769155466.966898,6,das_work,43.63629865646362,60058,9,1
1769155466.9682567,2,das_work,26.384966373443604,60058,9,1
1769155466.9685895,9,das_work,26.229066371917725,60058,9,1
1769155494.2072637,1,das_work,25.48227477073669,60058,10,1
1769155494.2103283,24,das_work,26.530956745147705,60058,10,1
1769155494.2121758,0,das_work,26.41022276878357,60058,10,1
1769155494.22456,22,das_work,26.64355182647705,60058,10,1
1769155494.2249818,30,das_work,26.411980152130127,60058,10,1
1769155494.22519,11,das_work,25.27893877029419,60058,10,1
1769155494.2450397,19,das_work,26.815301418304443,60058,10,1
1769155494.245709,13,das_work,26.761988639831543,60058,10,1
1769155494.254056,29,das_work,26.276435136795044,60058,10,1
1769155494.2550542,10,das_work,25.6392674446106,60058,10,1
1769155494.2558002,3,das_work,25.67366981506348,60058,10,1
1769155494.2661335,15,das_work,26.7086284160614,60058,10,1
1769155494.3020172,14,das_work,26.37212419509888,60058,10,1
1769155494.305956,21,das_work,26.43090033531189,60058,10,1
1769155494.3084817,20,das_work,26.04613447189331,60058,10,1
1769155494.3086872,9,das_work,25.44642853736877,60058,10,1
1769155494.3091166,23,das_work,26.37279200553894,60058,10,1
1769155494.3093195,6,das_work,25.74585509300232,60058,10,1
1769155494.3103426,2,das_work,25.346856355667114,60058,10,1
1769155494.310545,28,das_work,25.578794717788696,60058,10,1
1769155494.3108702,12,das_work,26.52437448501587,60058,10,1
1769155494.3111415,25,das_work,26.116507053375244,60058,10,1
1769155521.614059,6,das_work,25.70524525642395,60058,11,1
1769155521.6396964,20,das_work,25.934617519378666,60058,11,1
1769155521.640022,14,das_work,26.184382915496823,60058,11,1
1769155521.642254,24,das_work,26.631683826446533,60058,11,1
1769155521.6427355,3,das_work,25.98579287528992,60058,11,1
1769155521.6633327,22,das_work,26.916412591934204,60058,11,1
1769155521.668929,19,das_work,26.64923357963562,60058,11,1
1769155521.669159,25,das_work,25.61608099937439,60058,11,1
1769155521.6699457,0,das_work,26.48478078842163,60058,11,1
1769155521.6703658,12,das_work,25.488216638565063,60058,11,1
1769155521.670874,2,das_work,26.01359367370605,60058,11,1
1769155521.6824768,30,das_work,26.157668828964237,60058,11,1
1769155521.711454,1,das_work,26.497121572494507,60058,11,1
1769155521.7193544,15,das_work,26.68540906906128,60058,11,1
1769155521.7201543,13,das_work,26.37775421142578,60058,11,1
1769155521.7205431,21,das_work,26.073458433151245,60058,11,1
1769155521.7222166,28,das_work,25.54426884651184,60058,11,1
1769155521.723403,10,das_work,26.516339540481567,60058,11,1
1769155521.7237508,23,das_work,26.59675931930542,60058,11,1
1769155521.7245169,9,das_work,25.77655601501465,60058,11,1
1769155521.7249503,29,das_work,26.4905424118042,60058,11,1
1769155521.725151,11,das_work,26.221073865890503,60058,11,1
1769155548.594226,9,das_work,26.243906021118164,60058,12,1
1769155548.6016,15,das_work,25.512556314468384,60058,12,1
1769155548.601892,13,das_work,25.51259970664978,60058,12,1
1769155548.6026428,12,das_work,25.62638258934021,60058,12,1
1769155548.6055684,22,das_work,25.112122297286987,60058,12,1
1769155548.605893,23,das_work,25.82138991355896,60058,12,1
1769155548.6101854,25,das_work,25.29349255561829,60058,12,1
1769155548.6103945,29,das_work,26.279682397842407,60058,12,1
1769155548.698599,0,das_work,26.007110595703125,60058,12,1
1769155548.7037632,14,das_work,26.070138692855835,60058,12,1
1769155548.7040577,28,das_work,25.34805727005005,60058,12,1
1769155548.7048988,19,das_work,26.461439609527588,60058,12,1
1769155548.7051668,11,das_work,25.24337148666382,60058,12,1
1769155548.7066891,2,das_work,25.155895948410038,60058,12,1
1769155548.7079222,10,das_work,25.17551827430725,60058,12,1
1769155548.7092483,20,das_work,25.284985303878784,60058,12,1
1769155548.709936,30,das_work,26.301424503326416,60058,12,1
1769155548.724733,3,das_work,25.88215208053589,60058,12,1
1769155548.7262428,1,das_work,25.72459554672241,60058,12,1
1769155548.7281473,6,das_work,26.083866834640503,60058,12,1
1769155548.729194,21,das_work,25.65344619750977,60058,12,1
1769155548.7294986,24,das_work,25.7792387008667,60058,12,1
1769155567.247548,29,das_work,18.09588932991028,60058,13,1
1769155607.8123064,6,das_work,57.66608476638794,60058,14,1
1769155607.8125713,22,das_work,57.79292726516724,60058,14,1
1769155607.8128564,11,das_work,57.286484718322754,60058,14,1
1769155607.8342028,27,das_work,179.3640444278717,60058,14,1
