timestamp,journey_id,worker_id,tx_type,latency_s,gas_used,block_number,status
1771473284.3166904,2_0,2,tpc_lock,7.564751625061035,46561,8,1
1771473284.331852,4_0,4,tpc_lock,0.7577009201049805,46561,8,1
1771473286.720372,1_0,1,tpc_lock,6.867872953414917,46549,8,1
1771473286.7217283,5_0,5,tpc_lock,8.934227228164673,46561,8,1
1771473286.7228785,3_0,3,tpc_lock,6.63007664680481,46561,8,1
1771473288.6742542,3_0,3,tpc_lock,1.951371192932129,46561,8,1
1771473288.6945002,2_0,2,tpc_lock,4.377801895141602,46561,8,1
1771473288.6946568,1_0,1,tpc_lock,1.9742801189422607,46549,8,1
1771473288.694806,4_0,4,tpc_lock,4.362948417663574,46561,8,1
1771473288.742094,5_0,5,tpc_lock,2.020361423492432,46561,8,1
1771473296.2884364,0_0,0,tpc_lock,11.175849199295044,46561,9,1
1771473300.6869695,2_0,2,das_work,3.939084768295288,48258,9,1
1771473300.6916857,3_0,3,das_work,8.577167987823486,48258,9,1
1771473300.6941445,4_0,4,das_work,8.747234344482422,48258,9,1
1771473300.7462492,0_0,0,tpc_lock,4.457807540893555,46561,9,1
1771473300.7487311,5_0,5,das_work,4.360275745391846,48258,9,1
1771473300.7570045,1_0,1,das_work,6.89310622215271,48258,9,1
1771473308.3413954,2_0,2,tpc_commit,7.654418230056763,28795,10,1
1771473308.3440716,4_0,4,tpc_commit,7.649914264678955,28795,10,1
1771473310.6771672,5_0,5,tpc_commit,9.928427934646606,28795,10,1
1771473310.7090592,3_0,3,tpc_commit,10.017364740371704,28795,10,1
1771473310.710481,1_0,1,tpc_commit,9.953466176986694,28783,10,1
1771473312.723824,5_0,5,tpc_commit,2.0466482639312744,28795,10,1
1771473312.72468,0_0,0,das_work,2.6746981143951416,48258,10,1
1771473312.763842,1_0,1,tpc_commit,2.0533523559570312,28783,10,1
1771473312.764338,3_0,3,tpc_commit,2.0552682876586914,28795,10,1
1771473312.7644455,4_0,4,tpc_commit,4.420360803604126,28795,10,1
1771473312.7645955,2_0,2,tpc_commit,4.423189401626587,28795,10,1
1771473320.3183022,4_0,4,tpc_lock,6.025400638580322,46561,11,1
1771473320.3223064,0_0,0,tpc_commit,7.597615003585815,28795,11,1
1771473320.360496,2_0,2,tpc_lock,6.486170291900635,46561,11,1
1771473322.6755376,1_0,1,tpc_lock,8.780688285827637,46561,11,1
1771473322.678615,3_0,3,tpc_lock,8.75294542312622,46561,11,1
1771473322.693665,5_0,5,tpc_lock,8.536057710647583,46561,11,1
1771473324.7301805,0_0,0,tpc_commit,4.407812595367432,28795,11,1
1771473324.7310228,5_0,5,tpc_lock,2.037347316741944,46561,11,1
1771473324.7312877,3_0,3,tpc_lock,2.052662134170532,46561,11,1
1771473324.7395327,4_0,4,tpc_lock,4.421218156814575,46561,11,1
1771473324.7436614,2_0,2,tpc_lock,4.383153200149536,46561,11,1
1771473324.775009,1_0,1,tpc_lock,2.0994598865509038,46561,11,1
1771473332.3887565,0_0,0,tpc_lock,6.9347357749938965,46561,12,1
1771473336.7789686,1_0,1,das_work,10.813878774642944,48258,12,1
1771473336.7985716,4_0,4,das_work,7.383328676223755,48258,12,1
1771473336.8432565,5_0,5,das_work,5.047824859619141,48258,12,1
1771473336.874475,0_0,0,tpc_lock,4.485708951950073,46561,12,1
1771473336.8912263,3_0,3,das_work,4.219799280166626,48258,12,1
1771473336.8950489,2_0,2,das_work,5.370847225189209,48258,12,1
1771473344.3158536,4_0,4,tpc_commit,7.517271280288696,28795,13,1
1771473344.361641,2_0,2,tpc_commit,7.466580867767334,28795,13,1
1771473346.6897967,3_0,3,tpc_commit,9.79856014251709,28795,13,1
1771473346.724709,5_0,5,tpc_commit,9.88144063949585,28795,13,1
1771473346.7271574,1_0,1,tpc_commit,9.948177576065063,28795,13,1
1771473348.877864,1_0,1,tpc_commit,2.150695323944092,28795,13,1
1771473348.918942,3_0,3,tpc_commit,2.229135036468506,28795,13,1
1771473348.9417737,4_0,4,tpc_commit,4.625909805297852,28795,13,1
1771473348.95116,5_0,5,tpc_commit,2.226439952850342,28795,13,1
1771473348.9661543,2_0,2,tpc_commit,4.60450291633606,28795,13,1
1771473348.987825,0_0,0,das_work,3.7145609855651855,48258,13,1
1771473356.4184422,0_0,0,tpc_commit,7.430603504180908,28795,14,1
1771473356.4485266,4_0,4,tpc_lock,6.977484941482544,46561,14,1
1771473356.497713,2_0,2,tpc_lock,6.92868971824646,46561,14,1
1771473358.6925354,3_0,3,tpc_lock,8.728880405426025,46561,14,1
1771473358.7011838,1_0,1,tpc_lock,8.808231830596924,46561,14,1
1771473358.742932,5_0,5,tpc_lock,8.651920080184937,46561,14,1
1771473360.8202815,0_0,0,tpc_commit,4.401828050613403,28795,14,1
1771473360.841968,4_0,4,tpc_lock,4.39342737197876,46561,14,1
1771473360.854503,3_0,3,tpc_lock,2.161957025527954,46561,14,1
1771473360.8832014,2_0,2,tpc_lock,4.385478258132935,46561,14,1
1771473360.9027925,1_0,1,tpc_lock,2.201596736907959,46561,14,1
1771473360.9219282,5_0,5,tpc_lock,2.178985357284546,46561,14,1
1771473368.4340396,0_0,0,tpc_lock,6.807386875152588,46549,15,1
1771473372.879464,0_0,0,tpc_lock,4.44541335105896,46549,15,1
1771473372.886844,4_0,4,das_work,7.996852874755859,48258,15,1
1771473372.972864,1_0,1,das_work,5.146674394607544,48258,15,1
1771473372.9889717,5_0,5,das_work,8.965599775314331,48258,15,1
1771473373.0060034,2_0,2,das_work,9.260775804519652,48258,15,1
1771473373.1060154,3_0,3,das_work,6.478714942932129,48258,15,1
1771473380.3997414,2_0,2,tpc_commit,7.393726110458374,28795,16,1
1771473380.4519148,4_0,4,tpc_commit,7.565036535263061,28795,16,1
1771473382.7150614,1_0,1,tpc_commit,9.742184400558472,28795,16,1
1771473382.743038,3_0,3,tpc_commit,9.637009143829346,28795,16,1
1771473382.7642932,5_0,5,tpc_commit,9.775313377380373,28795,16,1
1771473384.8617167,1_0,1,tpc_commit,2.146642208099365,28795,16,1
1771473384.9209628,3_0,3,tpc_commit,2.177912473678589,28795,16,1
1771473384.9594069,4_0,4,tpc_commit,4.507480144500732,28795,16,1
1771473384.9602091,5_0,5,tpc_commit,2.1959073543548584,28795,16,1
1771473384.972358,0_0,0,das_work,8.325165271759033,48258,16,1
1771473385.1309469,2_0,2,tpc_commit,4.731194496154785,28795,16,1
1771473392.394075,2_0,2,tpc_lock,5.278802156448364,46561,17,1
1771473392.4441738,0_0,0,tpc_commit,7.4718077182769775,28783,17,1
1771473392.4830458,4_0,4,tpc_lock,6.816088914871216,46561,17,1
1771473394.6918826,1_0,1,tpc_lock,7.984290838241577,46561,17,1
1771473394.7070425,3_0,3,tpc_lock,8.50525450706482,46561,17,1
1771473394.7559383,5_0,5,tpc_lock,8.680599927902222,46561,17,1
1771473396.8635375,0_0,0,tpc_commit,4.419354677200317,28783,17,1
1771473396.9666252,1_0,1,tpc_lock,2.274731397628784,46561,17,1
1771473397.007272,3_0,3,tpc_lock,2.300220489501953,46561,17,1
1771473397.0324936,4_0,4,tpc_lock,4.549437522888184,46561,17,1
1771473397.0326736,5_0,5,tpc_lock,2.2767248153686523,46561,17,1
1771473397.0857794,2_0,2,tpc_lock,4.691692352294922,46561,17,1
1771473404.4889183,0_0,0,tpc_lock,6.038820505142212,46561,18,1
1771473408.837697,3_0,3,das_work,2.262080192565918,48258,18,1
1771473408.8396163,0_0,0,tpc_lock,4.350682258605957,46561,18,1
1771473408.8679533,2_0,2,das_work,3.5189433097839355,48258,18,1
1771473408.9095435,1_0,1,das_work,5.5462939739227295,48258,18,1
1771473409.0763786,5_0,5,das_work,4.524524211883545,48258,18,1
1771473409.159661,4_0,4,das_work,6.940764665603638,48258,18,1
1771473416.4298384,4_0,4,tpc_commit,7.27016544342041,28795,19,1
1771473416.4598186,2_0,2,tpc_commit,7.59185266494751,28795,19,1
1771473418.6901324,5_0,5,tpc_commit,9.613740921020508,28795,19,1
1771473418.704111,3_0,3,tpc_commit,9.866398811340332,28795,19,1
1771473418.707019,1_0,1,tpc_commit,9.797461986541748,28795,19,1
1771473420.8697536,1_0,1,tpc_commit,2.162381649017334,28795,19,1
1771473420.8978374,5_0,5,tpc_commit,2.2076971530914307,28795,19,1
1771473420.9536738,4_0,4,tpc_commit,4.523823976516724,28795,19,1
1771473421.094061,3_0,3,tpc_commit,2.389935255050659,28795,19,1
1771473421.0999062,0_0,0,das_work,10.660456418991089,48258,19,1
1771473421.141297,2_0,2,tpc_commit,4.681463479995728,28795,19,1
1771473428.4075198,4_0,4,tpc_lock,6.455190658569336,46549,20,1
1771473428.409524,0_0,0,tpc_commit,7.309605836868286,28795,20,1
1771473428.485724,2_0,2,tpc_lock,6.4223504066467285,46561,20,1
1771473430.7088463,1_0,1,tpc_lock,8.604712009429932,46561,20,1
1771473430.749061,3_0,3,tpc_lock,8.880511283874512,46561,20,1
1771473430.7512443,5_0,5,tpc_lock,9.281842470169067,46549,20,1
1771473432.9154978,3_0,3,tpc_lock,2.166423082351685,46561,20,1
1771473432.9212809,2_0,2,tpc_lock,4.435544490814209,46561,20,1
1771473433.0000694,4_0,4,tpc_lock,4.592537879943848,46549,20,1
1771473433.025753,5_0,5,tpc_lock,2.274498224258423,46549,20,1
1771473433.0285814,0_0,0,tpc_commit,4.619046926498413,28795,20,1
1771473433.0368638,1_0,1,tpc_lock,2.328005790710449,46561,20,1
1771473440.4631202,0_0,0,tpc_lock,5.49279522895813,46561,21,1
1771473444.8857114,3_0,3,das_work,5.782503128051758,48258,21,1
1771473444.959595,0_0,0,tpc_lock,4.496416568756104,46561,21,1
1771473445.089148,4_0,4,das_work,8.510008811950684,48258,21,1
1771473445.1099072,2_0,2,das_work,7.8633129596710205,48258,21,1
1771473445.1497223,1_0,1,das_work,6.351685047149658,48258,21,1
1771473445.1596842,5_0,5,das_work,8.576340913772583,48258,21,1
1771473452.377455,4_0,4,tpc_commit,7.288294315338135,28783,22,1
1771473452.3883655,2_0,2,tpc_commit,7.278445959091186,28795,22,1
1771473454.7629015,1_0,1,tpc_commit,9.613170385360718,28795,22,1
1771473454.764856,3_0,3,tpc_commit,9.879132747650146,28795,22,1
1771473454.8055463,5_0,5,tpc_commit,9.64584994316101,28783,22,1
1771473456.8367765,0_0,0,das_work,8.408205509185791,48258,22,1
1771473456.8481388,1_0,1,tpc_commit,2.0852246284484863,28795,22,1
1771473456.9169936,4_0,4,tpc_commit,4.539527416229248,28783,22,1
1771473457.0193985,5_0,5,tpc_commit,2.213839054107666,28783,22,1
1771473457.0283182,2_0,2,tpc_commit,4.639941930770874,28795,22,1
1771473457.1234632,3_0,3,tpc_commit,2.358596086502075,28795,22,1
1771473464.388893,2_0,2,tpc_lock,6.838584661483765,46549,23,1
1771473464.443038,0_0,0,tpc_commit,7.60624885559082,28795,23,1
1771473464.4839883,4_0,4,tpc_lock,7.03030800819397,46561,23,1
1771473466.7284803,5_0,5,tpc_lock,7.928904056549072,46561,23,1
1771473466.8041563,1_0,1,tpc_lock,9.425142288208008,46561,23,1
1771473466.8208077,3_0,3,tpc_lock,7.983078718185425,46561,23,1
1771473468.8375742,3_0,3,tpc_lock,2.0167527198791504,46561,23,1
1771473468.840633,4_0,4,tpc_lock,4.35663104057312,46561,23,1
1771473468.8589373,1_0,1,tpc_lock,2.0547683238983154,46561,23,1
1771473468.8860435,5_0,5,tpc_lock,2.1575522422790527,46561,23,1
1771473469.0677044,0_0,0,tpc_commit,4.624654769897461,28795,23,1
1771473469.0771415,2_0,2,tpc_lock,4.688235521316528,46549,23,1
1771473476.3617218,0_0,0,tpc_lock,5.546675443649292,46561,24,1
1771473480.8438466,3_0,3,das_work,3.7265713214874263,48258,24,1
1771473480.92793,2_0,2,das_work,6.97101354598999,48258,24,1
1771473481.0413554,5_0,5,das_work,9.677939891815186,48258,24,1
1771473481.0890098,0_0,0,tpc_lock,4.727272987365723,46561,24,1
1771473481.0947907,1_0,1,das_work,7.9336488246917725,48258,24,1
1771473481.0965295,4_0,4,das_work,3.6778969764709473,48258,24,1
1771473488.370979,4_0,4,tpc_commit,7.274437665939331,28795,25,1
1771473488.3881152,2_0,2,tpc_commit,7.4601709842681885,28783,25,1
1771473490.7071223,5_0,5,tpc_commit,9.665754079818726,28795,25,1
1771473490.7598927,3_0,3,tpc_commit,9.91603660583496,28795,25,1
1771473490.7868285,1_0,1,tpc_commit,9.692025899887083,28795,25,1
1771473492.8410144,5_0,5,tpc_commit,2.133878231048584,28795,25,1
1771473492.8883655,2_0,2,tpc_commit,4.500236749649048,28783,25,1
1771473493.0103974,1_0,1,tpc_commit,2.2235567569732666,28795,25,1
1771473493.0168834,4_0,4,tpc_commit,4.645893573760986,28795,25,1
1771473493.066455,3_0,3,tpc_commit,2.306554079055786,28795,25,1
1771473493.077388,0_0,0,das_work,2.9382238388061523,48258,25,1
1771473500.4756875,2_0,2,tpc_lock,5.7001588344573975,46561,26,1
1771473500.4781396,4_0,4,tpc_lock,6.401276588439941,46561,26,1
1771473500.4881482,0_0,0,tpc_commit,7.4107489585876465,28795,26,1
1771473502.6915045,5_0,5,tpc_lock,9.159094333648682,46561,26,1
1771473502.693538,1_0,1,tpc_lock,8.627785921096802,46561,26,1
1771473502.7684357,3_0,3,tpc_lock,8.794574737548828,46561,26,1
1771473504.823931,3_0,3,tpc_lock,2.0554864406585693,46561,26,1
1771473504.8243318,1_0,1,tpc_lock,2.130776882171631,46561,26,1
1771473504.8316886,4_0,4,tpc_lock,4.353534460067749,46561,26,1
1771473504.876965,0_0,0,tpc_commit,4.388805150985718,28795,26,1
1771473504.9650006,2_0,2,tpc_lock,4.489302158355713,46561,26,1
1771473505.0641606,5_0,5,tpc_lock,2.372638463973999,46561,26,1
1771473512.338647,0_0,0,tpc_lock,5.660997629165649,46537,27,1
1771473516.8368475,5_0,5,das_work,9.60962462425232,48258,27,1
1771473516.8416927,2_0,2,das_work,4.432377576828003,48258,27,1
1771473516.869261,0_0,0,tpc_lock,4.5306055545806885,46537,27,1
1771473516.876984,3_0,3,das_work,3.1807448863983154,48258,27,1
1771473516.9083571,1_0,1,das_work,3.59710693359375,48258,27,1
1771473517.032882,4_0,4,das_work,8.513532638549805,48258,27,1
1771473524.3419344,4_0,4,tpc_commit,7.309040069580078,28795,28,1
1771473524.3456323,2_0,2,tpc_commit,7.503928184509277,28795,28,1
1771473526.7055838,3_0,3,tpc_commit,9.828588247299194,28795,28,1
1771473526.7093172,1_0,1,tpc_commit,9.800949335098268,28795,28,1
1771473526.7682726,5_0,5,tpc_commit,9.93141794204712,28795,28,1
1771473528.8245502,5_0,5,tpc_commit,2.0562686920166016,28795,28,1
1771473528.9422648,2_0,2,tpc_commit,4.596621751785278,28795,28,1
1771473528.9469447,4_0,4,tpc_commit,4.604999780654907,28795,28,1
1771473528.9543283,3_0,3,tpc_commit,2.248732089996338,28795,28,1
1771473529.022026,0_0,0,das_work,6.771552801132202,48258,28,1
1771473529.0711577,1_0,1,tpc_commit,2.36182713508606,28795,28,1
1771473536.3580165,0_0,0,tpc_commit,7.3359763622283936,28771,29,1
1771473536.3926363,4_0,4,tpc_lock,6.549748420715332,46561,29,1
1771473536.4680986,2_0,2,tpc_lock,5.6514387130737305,46561,29,1
1771473538.7000628,3_0,3,tpc_lock,8.14660906791687,46549,29,1
1771473538.7306502,5_0,5,tpc_lock,8.848275423049927,46561,29,1
1771473538.753903,1_0,1,tpc_lock,8.56157112121582,46561,29,1
1771473540.8375883,5_0,5,tpc_lock,2.106929063796997,46561,29,1
1771473540.8874793,3_0,3,tpc_lock,2.187404155731201,46549,29,1
1771473540.910072,0_0,0,tpc_commit,4.552045106887817,28771,29,1
1771473540.9119625,1_0,1,tpc_lock,2.158047676086426,46561,29,1
1771473540.9311855,2_0,2,tpc_lock,4.46307373046875,46561,29,1
1771473541.0922074,4_0,4,tpc_lock,4.699563264846802,46561,29,1
1771473548.4021423,0_0,0,tpc_lock,6.44791054725647,46561,30,1
1771473552.9367058,0_0,0,tpc_lock,4.534514427185059,46561,30,1
1771473553.0083463,3_0,3,das_work,2.991496562957764,48258,30,1
1771473553.0369651,4_0,4,das_work,6.985217809677124,48258,30,1
1771473553.0827577,1_0,1,das_work,4.520385265350342,48258,30,1
1771473553.085516,5_0,5,das_work,9.997434139251707,48258,30,1
1771473553.095745,2_0,2,das_work,9.199379682540894,48258,30,1
1771473560.3282828,2_0,2,tpc_commit,7.2325279712677,28795,31,1
1771473560.399814,4_0,4,tpc_commit,7.362837314605713,28795,31,1
1771473562.7399242,1_0,1,tpc_commit,9.657152891159058,28795,31,1
1771473562.753361,5_0,5,tpc_commit,9.667833805084229,28795,31,1
1771473562.7918837,3_0,3,tpc_commit,9.78352189064026,28783,31,1
1771473564.8228889,3_0,3,tpc_commit,2.030996084213257,28783,31,1
1771473564.8235896,1_0,1,tpc_commit,2.0836544036865234,28795,31,1
1771473564.9088366,4_0,4,tpc_commit,4.509007692337036,28795,31,1
1771473564.9644556,5_0,5,tpc_commit,2.2110812664031982,28795,31,1
1771473564.999764,2_0,2,tpc_commit,4.671471834182739,28795,31,1
1771473565.061103,0_0,0,das_work,9.821223735809326,48258,31,1
1771473572.3580198,2_0,2,tpc_lock,5.378024339675903,46561,32,1
1771473572.3596995,0_0,0,tpc_commit,7.2985680103302,28795,32,1
1771473572.407253,4_0,4,tpc_lock,5.523250341415405,46561,32,1
1771473574.6738904,5_0,5,tpc_lock,7.901976108551025,46537,32,1
1771473574.7160728,3_0,3,tpc_lock,8.37475872039795,46561,32,1
1771473574.7442455,1_0,1,tpc_lock,8.154682636260986,46561,32,1
1771473576.8269925,4_0,4,tpc_lock,4.4197282791137695,46561,32,1
1771473576.871169,5_0,5,tpc_lock,2.197267532348633,46537,32,1
1771473577.0056891,2_0,2,tpc_lock,4.647658109664917,46561,32,1
1771473577.0220382,3_0,3,tpc_lock,2.305957794189453,46561,32,1
1771473577.0350175,1_0,1,tpc_lock,2.290761232376098,46561,32,1
1771473577.0363646,0_0,0,tpc_commit,4.676657438278198,28795,32,1
1771473584.3336418,0_0,0,tpc_lock,6.458284616470337,46561,33,1
1771473588.862733,3_0,3,das_work,5.684063196182251,48258,33,1
1771473588.869217,1_0,1,das_work,3.591848373413086,48258,33,1
1771473588.949396,0_0,0,tpc_lock,4.615741968154907,46561,33,1
1771473589.0028677,5_0,5,das_work,9.731421709060667,48258,33,1
1771473589.0040884,4_0,4,das_work,8.586867570877075,48258,33,1
1771473589.0474002,2_0,2,das_work,8.55392837524414,48258,33,1
1771473596.3470876,4_0,4,tpc_commit,7.342989206314087,28795,34,1
1771473596.3920453,2_0,2,tpc_commit,7.34463620185852,28795,34,1
1771473598.7076137,1_0,1,tpc_commit,9.838385343551636,28795,34,1
1771473598.7374427,5_0,5,tpc_commit,9.73456335067749,28771,34,1
1771473598.7866046,3_0,3,tpc_commit,9.923861026763916,28795,34,1
1771473600.8296652,4_0,4,tpc_commit,4.482567548751831,28795,34,1
1771473600.845035,3_0,3,tpc_commit,2.058418273925781,28795,34,1
1771473600.9722705,0_0,0,das_work,6.59578800201416,48258,34,1
1771473601.0069125,2_0,2,tpc_commit,4.614853143692017,28795,34,1
1771473601.0243318,5_0,5,tpc_commit,2.2868764400482178,28771,34,1
1771473601.0287788,1_0,1,tpc_commit,2.321152210235596,28795,34,1
1771473608.4253125,4_0,4,tpc_lock,6.015625953674316,46561,35,1
1771473608.4295511,0_0,0,tpc_commit,7.457266807556152,28795,35,1
1771473608.4358118,2_0,2,tpc_lock,6.345209121704102,46561,35,1
1771473610.7030685,3_0,3,tpc_lock,8.981064558029175,46561,35,1
1771473610.7089252,5_0,5,tpc_lock,7.805114269256592,46561,35,1
1771473610.7679317,1_0,1,tpc_lock,9.125197410583496,46549,35,1
1771473612.8467233,3_0,3,tpc_lock,2.143646001815796,46561,35,1
1771473612.851657,4_0,4,tpc_lock,4.426332712173462,46561,35,1
1771473612.8738897,1_0,1,tpc_lock,2.105947494506836,46549,35,1
1771473612.92326,0_0,0,tpc_commit,4.4936957359313965,28795,35,1
1771473612.9476447,5_0,5,tpc_lock,2.2387077808380127,46561,35,1
1771473612.988936,2_0,2,tpc_lock,4.553112745285034,46561,35,1
1771473620.3710234,0_0,0,tpc_lock,6.388556241989136,46549,36,1
1771473624.8220603,2_0,2,das_work,2.7397031784057617,48258,36,1
1771473624.905696,1_0,1,das_work,11.003234386444092,48258,36,1
1771473624.9203596,0_0,0,tpc_lock,4.549245357513428,46549,36,1
1771473624.9369955,5_0,5,das_work,2.366541862487793,48258,36,1
1771473624.9602237,3_0,3,das_work,4.142994403839111,48258,36,1
1771473625.018,4_0,4,das_work,8.33737826347351,48258,36,1
1771473632.3407822,4_0,4,tpc_commit,7.322770833969116,28795,37,1
1771473632.4423869,2_0,2,tpc_commit,7.620310306549072,28795,37,1
1771473634.713581,5_0,5,tpc_commit,9.776569604873655,28795,37,1
1771473634.7510464,1_0,1,tpc_commit,9.8453369140625,28783,37,1
1771473634.7766802,3_0,3,tpc_commit,9.816444873809814,28795,37,1
1771473636.8272047,1_0,1,tpc_commit,2.076147079467773,28783,37,1
1771473636.845533,0_0,0,das_work,6.128881454467773,48258,37,1
1771473636.9047773,3_0,3,tpc_commit,2.128084659576416,28795,37,1
1771473636.9165127,5_0,5,tpc_commit,2.202919244766236,28795,37,1
1771473636.9566426,2_0,2,tpc_commit,4.514243125915527,28795,37,1
1771473637.039417,4_0,4,tpc_commit,4.698624849319458,28795,37,1
1771473644.4282706,0_0,0,tpc_commit,7.582725763320923,28783,38,1
1771473644.4570198,4_1,4,tpc_lock,6.832041263580322,46561,38,1
1771473644.463284,2_1,2,tpc_lock,6.7336249351501465,46561,38,1
1771473646.6952832,5_1,5,tpc_lock,8.849820852279663,46561,38,1
1771473646.697146,1_1,1,tpc_lock,8.479987382888794,46561,38,1
1771473646.7322433,3_1,3,tpc_lock,8.806681394577026,46561,38,1
1771473648.8231,0_0,0,tpc_commit,4.394816160202026,28783,38,1
1771473648.8761525,3_1,3,tpc_lock,2.1438963413238525,46561,38,1
1771473648.9130414,1_1,1,tpc_lock,2.215885162353516,46561,38,1
1771473648.9349947,2_1,2,tpc_lock,4.471700191497803,46561,38,1
1771473648.9826696,5_1,5,tpc_lock,2.287374496459961,46561,38,1
1771473649.039894,4_1,4,tpc_lock,4.58286190032959,46561,38,1
1771473656.409559,0_1,0,tpc_lock,5.773269891738892,46561,39,1
1771473660.8219993,0_1,0,tpc_lock,4.41242790222168,46561,39,1
1771473660.822817,3_1,3,das_work,10.72243046760559,48258,39,1
1771473660.830981,4_1,4,das_work,5.7600860595703125,48258,39,1
1771473660.8444417,1_1,1,das_work,6.392351865768433,48258,39,1
1771473660.9977949,5_1,5,das_work,9.212980270385742,48258,39,1
1771473661.094475,2_1,2,das_work,7.252545118331909,48258,39,1
1771473668.4067883,4_1,4,tpc_commit,7.575793504714966,28795,40,1
1771473668.4155712,2_1,2,tpc_commit,7.3210837841033936,28795,40,1
1771473670.6788948,5_1,5,tpc_commit,9.681090593338013,28795,40,1
1771473670.6867936,3_1,3,tpc_commit,9.86396837234497,28795,40,1
1771473670.7343354,1_1,1,tpc_commit,9.889883041381836,28795,40,1
1771473672.916966,1_1,1,tpc_commit,2.1826205253601074,28795,40,1
1771473672.9469724,2_1,2,tpc_commit,4.531390190124512,28795,40,1
1771473672.9671829,4_1,4,tpc_commit,4.560384035110474,28795,40,1
1771473672.9979272,3_1,3,tpc_commit,2.311119556427002,28795,40,1
1771473673.074132,0_1,0,das_work,7.099961042404175,48258,40,1
1771473673.127213,5_1,5,tpc_commit,2.448310375213623,28795,40,1
1771473680.3764324,4_1,4,tpc_lock,6.648148536682129,46561,41,1
1771473680.390008,0_1,0,tpc_commit,7.315861701965332,28795,41,1
1771473680.424189,2_1,2,tpc_lock,6.882168769836426,46561,41,1
1771473682.6859145,1_1,1,tpc_lock,8.76155686378479,46549,41,1
1771473682.695305,3_1,3,tpc_lock,8.46543836593628,46561,41,1
1771473682.7553754,5_1,5,tpc_lock,8.91012454032898,46561,41,1
1771473684.8780751,2_1,2,tpc_lock,4.453873872756958,46561,41,1
1771473685.0016637,5_1,5,tpc_lock,2.246278047561645,46561,41,1
1771473685.0255315,0_1,0,tpc_commit,4.6355140209198,28795,41,1
1771473685.0338724,4_1,4,tpc_lock,4.657428979873657,46561,41,1
1771473685.0489483,3_1,3,tpc_lock,2.353631019592285,46561,41,1
1771473685.0673006,1_1,1,tpc_lock,2.381373882293701,46549,41,1
1771473692.3840032,0_1,0,tpc_lock,5.863571643829346,46561,42,1
1771473696.809415,4_1,4,das_work,10.399353504180908,48258,42,1
1771473696.829798,3_1,3,das_work,3.2791881561279297,48258,42,1
1771473696.9010024,2_1,2,das_work,5.993412494659424,48258,42,1
1771473696.9427354,5_1,5,das_work,6.7625572681427,48258,42,1
1771473696.9452555,1_1,1,das_work,2.514058351516724,48258,42,1
1771473697.0818672,0_1,0,tpc_lock,4.6978535652160645,46561,42,1
1771473704.3539743,2_1,2,tpc_commit,7.452959537506103,28795,43,1
1771473704.4349475,4_1,4,tpc_commit,7.625518321990967,28795,43,1
1771473706.6799688,1_1,1,tpc_commit,9.734702587127686,28783,43,1
1771473706.7036767,5_1,5,tpc_commit,9.760905265808104,28795,43,1
1771473706.7855687,3_1,3,tpc_commit,9.95575785636902,28795,43,1
1771473708.8168058,4_1,4,tpc_commit,4.381847143173218,28795,43,1
1771473708.8239105,0_1,0,das_work,6.127570629119873,48258,43,1
1771473708.8264835,3_1,3,tpc_commit,2.040903329849243,28795,43,1
1771473709.020013,2_1,2,tpc_commit,4.666027784347534,28795,43,1
1771473709.0513363,5_1,5,tpc_commit,2.347649097442627,28795,43,1
1771473709.052195,1_1,1,tpc_commit,2.3722145557403564,28783,43,1
1771473716.3837209,4_1,4,tpc_lock,7.042595863342285,46561,44,1
1771473716.386895,0_1,0,tpc_commit,7.562976837158203,28795,44,1
1771473716.4153552,2_1,2,tpc_lock,6.051695346832275,46549,44,1
1771473718.71094,1_1,1,tpc_lock,7.840376377105713,46561,44,1
1771473718.7219534,3_1,3,tpc_lock,8.042866468429565,46561,44,1
1771473718.7549567,5_1,5,tpc_lock,8.836556196212769,46561,44,1
1771473720.8204265,5_1,5,tpc_lock,2.0654587745666504,46561,44,1
1771473720.9008985,3_1,3,tpc_lock,2.1789357662200928,46561,44,1
1771473720.924982,1_1,1,tpc_lock,2.214027643203736,46561,44,1
1771473721.006105,0_1,0,tpc_commit,4.619201183319092,28795,44,1
1771473721.009758,2_1,2,tpc_lock,4.594389915466309,46549,44,1
