node,block_number,timestamp,tx_count,gas_used,gas_limit
shard_0,6,1769143872,0,0,30000000
shard_0,7,1769143884,0,0,30000000
shard_0,8,1769143896,0,0,30000000
shard_0,9,1769143908,0,0,30000000
shard_0,10,1769143920,0,0,30000000
shard_0,11,1769143932,0,0,30000000
shard_0,12,1769143944,0,0,30000000
shard_0,13,1769143956,0,0,30000000
shard_0,14,1769143968,0,0,30000000
shard_0,15,1769143980,0,0,30000000
shard_0,16,1769143992,0,0,30000000
shard_0,17,1769144004,0,0,30000000
shard_0,18,1769144016,0,0,30000000
shard_0,19,1769144028,0,0,30000000
shard_0,20,1769144040,0,0,30000000
shard_0,21,1769144052,0,0,30000000
shard_0,22,1769144064,0,0,30000000
shard_0,23,1769144076,0,0,30000000
shard_0,24,1769144088,0,0,30000000
shard_0,25,1769144100,0,0,30000000
shard_0,26,1769144112,0,0,30000000
shard_0,27,1769144124,0,0,30000000
shard_0,28,1769144136,0,0,30000000
shard_0,29,1769144148,0,0,30000000
shard_0,30,1769144160,0,0,30000000
shard_0,31,1769144172,0,0,30000000
shard_0,32,1769144184,0,0,30000000
shard_0,33,1769144196,0,0,30000000
shard_0,34,1769144208,0,0,30000000
shard_0,35,1769144220,0,0,30000000
shard_0,36,1769144232,0,0,30000000
shard_0,37,1769144244,0,0,30000000
shard_0,38,1769144256,0,0,30000000
shard_0,39,1769144268,0,0,30000000
shard_0,40,1769144280,0,0,30000000
shard_0,41,1769144292,0,0,30000000
shard_0,42,1769144304,0,0,30000000
shard_0,43,1769144316,0,0,30000000
shard_0,44,1769144328,0,0,30000000
shard_0,45,1769144340,0,0,30000000
shard_0,46,1769144352,0,0,30000000
shard_0,47,1769144364,0,0,30000000
shard_1,6,1769143874,0,0,30000000
shard_1,7,1769143886,0,0,30000000
shard_1,8,1769143898,0,0,30000000
shard_1,9,1769143910,0,0,30000000
shard_1,10,1769143922,0,0,30000000
shard_1,11,1769143934,0,0,30000000
shard_1,12,1769143946,0,0,30000000
shard_1,13,1769143958,0,0,30000000
shard_1,14,1769143970,0,0,30000000
shard_1,15,1769143982,0,0,30000000
shard_1,16,1769143994,0,0,30000000
shard_1,17,1769144006,0,0,30000000
shard_1,18,1769144018,0,0,30000000
shard_1,19,1769144030,0,0,30000000
shard_1,20,1769144042,0,0,30000000
shard_1,21,1769144054,0,0,30000000
shard_1,22,1769144066,0,0,30000000
shard_1,23,1769144078,0,0,30000000
shard_1,24,1769144090,0,0,30000000
shard_1,25,1769144102,0,0,30000000
shard_1,26,1769144114,0,0,30000000
shard_1,27,1769144126,0,0,30000000
shard_1,28,1769144138,0,0,30000000
shard_1,29,1769144150,0,0,30000000
shard_1,30,1769144162,0,0,30000000
shard_1,31,1769144174,0,0,30000000
shard_1,32,1769144186,0,0,30000000
shard_1,33,1769144198,0,0,30000000
shard_1,34,1769144210,0,0,30000000
shard_1,35,1769144222,0,0,30000000
shard_1,36,1769144234,0,0,30000000
shard_1,37,1769144246,0,0,30000000
shard_1,38,1769144258,0,0,30000000
shard_1,39,1769144270,0,0,30000000
shard_1,40,1769144282,0,0,30000000
shard_1,41,1769144294,0,0,30000000
shard_1,42,1769144306,0,0,30000000
shard_1,43,1769144318,0,0,30000000
shard_1,44,1769144330,0,0,30000000
shard_1,45,1769144342,0,0,30000000
shard_1,46,1769144354,0,0,30000000
shard_1,47,1769144366,0,0,30000000
execution,6,1769143876,0,0,30000000
execution,7,1769143888,0,0,30000000
execution,8,1769143900,77,4624466,30000000
execution,9,1769143914,84,5044872,30000000
execution,10,1769143929,84,5044872,30000000
execution,11,1769143943,84,5044872,30000000
execution,12,1769143958,84,5044872,30000000
execution,13,1769143973,84,5044872,30000000
execution,14,1769143987,84,5044872,30000000
execution,15,1769144002,84,5044872,30000000
execution,16,1769144016,84,5044872,30000000
execution,17,1769144031,100,6005800,30000000
execution,18,1769144046,100,6005800,30000000
execution,19,1769144061,100,6005800,30000000
execution,20,1769144076,100,6005800,30000000
execution,21,1769144091,100,6005800,30000000
execution,22,1769144106,100,6005800,30000000
execution,23,1769144121,100,6005800,30000000
execution,24,1769144136,100,6005800,30000000
execution,25,1769144152,100,6005800,30000000
execution,26,1769144167,100,6005800,30000000
execution,27,1769144182,100,6005800,30000000
execution,28,1769144197,100,6005800,30000000
execution,29,1769144212,100,6005800,30000000
execution,30,1769144227,100,6005800,30000000
execution,31,1769144242,100,6005800,30000000
execution,32,1769144257,100,6005800,30000000
execution,33,1769144272,23,1381334,30000000
execution,34,1769144285,16,960928,30000000
execution,35,1769144298,16,960928,30000000
execution,36,1769144310,16,960928,30000000
execution,37,1769144322,16,960928,30000000
execution,38,1769144335,16,960928,30000000
execution,39,1769144347,16,960928,30000000
execution,40,1769144359,16,960928,30000000
execution,41,1769144372,16,960928,30000000
